"in€m.;at amortized cost®;at fair value through P&amp;L;Debt Securities at fair value through OCI®;at amortized cost;Repo and repo-style at fair value through P&amp;L;transactions” at fair value through OCI;Total
Agriculture, forestry and;0;8;0;0;0;0;828
fishing;0;8;0;0;0;0;828
Mining and quarrying;34;362;2;0;0;0;11,398
Manufacturing;64;983;41;0;0;0;106,939
Electricity, gas, steam and air conditioning;78;732;35;1,515;0;0;17,867
supply;78;732;35;1,515;0;0;17,867
Water supply, sewerage, waste management and;0;23;0;0;0;0;1,609
remediation activities;0;23;0;0;0;0;1,609
Construction;29;621;1;0;0;0;11,344
Wholesale and retail trade, repair of motor;0;357;2;0;0;0;47,275
vehicles and motorcycles;0;357;2;0;0;0;47,275
Transport and storage;117;537;14;0;0;0;14,220
Accommodation and food;0;26;0;0;0;0;3,259
service activities;0;26;0;0;0;0;3,259
Information and;108;579;2;0;0;0;27,317
communication;108;579;2;0;0;0;27,317
Financial and insurance;4,669;18,440;4,421;9,965;75,497;2,156;362,322
activities®;4,669;18,440;4,421;9,965;75,497;2,156;362,322
Real estate activities?;405;1,703;548;0;0;0;60,222
Professional, scientific and technical activities;27;206;115;0;0;0;14,973
Administrative and;39;268;5;0;0;0;14,811
support service activities;39;268;5;0;0;0;14,811
Public administration and;19,782;59,291;19,991;0;5,768;0;118,034
defense, compulsory;19,782;59,291;19,991;0;5,768;0;118,034
social security;19,782;59,291;19,991;0;5,768;0;118,034
Education;0;113;17;0;0;0;727
Human health services and social work activities;88;49;12;0;0;0;6,783
Arts, entertainment and;0;125;0;0;0;0;3,001
recreation;0;125;0;0;0;0;3,001
Other service activities;115;2,636;18;0;4;0;12,277
Activities of households as employers,;0;0;0;0;0;0;246,383
undifferentiated goods- and services-producing activities of households for own use;0;0;0;0;0;0;246,383
Activities of extraterritorial;40;964;229;0;0;0;1,322
organizations and bodies;40;964;229;0;0;0;1,322
Total;25,596;88,025;25,450;11,479;81,270;2,156;1,082,910"
