"ném unless stated otherwise) Net revenues;2023;2021 (314) (36);2023 increase (decrease) from 2022;— 2022 increase (decrease) from 2021
Provision for credit losses;(9);35;27;(76)
Noninterest expenses;;;;;
Compensation and benefits;3,372;3,231;3,145;141;4;86;3
General and administrative expenses;(2,634);(2,192);(1,862);(441);20;(331);18
impairment of goodwill and other intangible assets activities;0;0;0;0;N/M;0;N/M
Restructuring;(1);(2);(2);1;(40);0;(22)
Total noninterest expenses;738;1,037;1,281;(299);(29);(244);(19)
Noncontrolling interests;(166);(190);(206);24;(-12);16;(-8)
P rofit (loss) before tax;(553);(1,743);(1,353);1,190;(-68);(-389);29
Employees (C&amp;O, net, full-time equivalent);1,218;1,856;3,510;(-638);(-34);(-1,654);(-47)
Employees (central infrastructure allocated to businesses, full-time equivalent)?;34,588;30,300;26,937;4,288;14;3,363;12
Total Employees (full-time equivalent)?;35,806;32,156;30,447;3,650;11;1,709;6
R isk-weighted assets (in € bn)?;40;46;46;(-6);(-13);(0);(0)
Leverage exposure (in € bn)?;39;36;62;3;7;(-25);(-41)"
