"in€m (unless stated otherwise);2023;2022;2021;in€m.;in%;in€m;in%
Net revenues;;;;;;;
Management fees;2,314;2,458;2,370;(143);(6);88;4
Performance and transaction fees;128;125;212;2;2;(86);(41)
Other;(59);24;126;(84);N/M;(102);(81)
Total net revenues;2,383;2,608;2,708;(225);(9);(100);(4)
Provision for credit losses;(1);(2);5;1;(50);(6);N/M
Noninterest expenses;;;;;;;
Compensation and benefits;891;899;822;(8);(1);77;9
General and administrative expenses;934;883;846;50;6;37;4
Impairment of goodwill and other intangible assets;0;68;0;(68);N/M;68;N/M
Restructuring activities;0;0;2;(0);(15);(2);(95)
Total noninterest expenses;1,825;1,850;1,670;(26);(1);180;11
Noncontrolling interests;163;174;223;(12);(7);(49);(22)
Profit (loss) before tax;396;584;809;(188);(32);(225);(28)
Employees (front office, full-time equivalent)?;2,023;2,024;1,913;(2);(0);111;6
Employees (business-aligned operations, full-time equivalent)!;2,363;2,258;2,159;105;5;100;5
Employees (allocated central infrastructure, full-time equivalent)!;576;495;442;81;16;53;12
Total employees (full-time equivalent)?;4,962;4,778;4,514;185;4;264;6
Total assets (in € bn)!?;10;10;10;0;2;(0);(2)
Risk-weighted assets (in € bn)!;15;13;14;2;18;(2);(11)
of which: operational risk RWA (in € bn)*;3;3;3;0;2;0;
Leverage exposure (in € bn)*;10;9;11;0;3;(1);
Assets under Management (in € bn)!;896;821;928;75;9;(106);
Net flows (in € bn);28;(20);48;48;N/M;(68);N/M
Cost/income ratio*;76.6%;71.0%;61.7%;N/M;5.6ppt;N/M;9.3ppt
Post-tax return on average shareholders' equity&gt;;4.9%;7.4%;11.0%;N/M;(2.5)ppt;N/M;(3.6)ppt"
