";in€t;in%;in€t;in%;in€t;in%;in€t
;2023;2022;2023;2022;2023;2022
ixed compensation components:;
Base salary;2,397;80%;2,397;92%;2,559;68%;2,567;75%
Pension allowance;0;0%;0;0%;650;17%;650;19%
Fringe benefits;6;0%;8;0%;88;2%;121;4%
otal fixed compensation;2,403;80%;2,404;93%;3,297;88%;3,338;98%
ariable compensation components:;
Deferred variable compensation;;
thereof Restricted Incentive Awards:;
2017 Restricted Incentive Award: Sign On;0;0%;0;0%;0;0%;0;0%
2019 Restricted Incentive Award for 2018;0;0%;0;0%;0;0%;0;0%
2020 Restricted Incentive Award for 2019;0;0%;0;0%;0;0%;0;0%
2021 Restricted Incentive Award for 2020;188;4%;188;4%;74;2%;74;2%
2022 Restricted Incentive Award for 2021;399;8%;0;0%;395;10%;0;0%
thereof Equity Awards;0;0%;0;0%;0;0%;0;0%
Fringe benefits;0;0%;0;0%;0;0%;0;0%
otal variable compensation;587;20%;188;7%;470;12%;74;2%
otal compensation;2,990;100%;2,593;100%;3,767;100%;3,412;100%"
