"in € m.;twelve months ended Dec 31, 2023; twelve months ended Dec 31, 2022
Common Equity Tier 1 (CET 1) capital - opening amount;48,097;46,506
Common shares, net effect;(69);(2)
Additional paid-in capital;(332);(79)
Retained earnings;4,794;5,945
Common shares in treasury, net effect/(+) sales (—) purchase;(150);(325)
Movements in accumulated other comprehensive income;(445);(870)
AT1 coupon and shareholder dividend deduction +;(1,279);(1,342)
Additional value adjustments;300;(215)
Goodwill and other intangible assets (net of related tax liabilities) (negative amount);11;(127)
Deferred tax assets that rely on future profitability (excluding those arising from temporary differences);(962);(1,779)
Negative amounts resulting from the calculation of expected loss amounts;(1,920);107
Defined benefit pension fund assets (net of related tax liabilities) (negative amount);230;(158)
Direct, indirect and synthetic holdings by the institution of the CET 1 instruments of financial sector entities;;;
where the institution has a significant investment in those entities;;;
Deferred tax assets arising from temporary differences (amount above 10% and 15% threshold,;;;
net of related tax liabilities where the conditions in Art. 38 (3) CRR are met);0;151
Other, including regulatory adjustments;(208);285
Common Equity Tier 1 (CET 1) capital - closing amount;48,066;48,097"
