"in€m.;2023;2022;2021;2020;2019
Total assets;1,312,331;1,336,788;1,323,993;1,325,259;1,297,674
Loans at amortized cost;473,705;483,700;471,319;426,995;429,841
Deposits debt;622,035;621,456;603,750;568,031;572,208
Long-term Common shares;119,390;131,525;144,485;149,163;136,473
Total shareholders’ equity;64,486;61,959;58,027;54,786;55,857
Common Equity Tier 1 capital (CRR/CRD 4 reported/phase-in)*;48,066;48,097;46,506;44,885;44,148
Common Equity Tier 1 capital (CRR/CRD 4 fully loaded)?;;;;
Tier 1 capital (CRR/CRD 4 reported/phase-in)*;56,395;56,616;55,375;51,734;50,546
Tier 1 capital (CRR/CRD 4 fully loaded)*?;;;;
Total regulatory capital (CRR/CRD 4 reported/phase-in)!;65,005;66,146;62,732;58,677;56,503
Total regulatory capital (CRR/CRD 4 fully loaded)?;;;;"
