"1 € m,;Within 1 year;&gt;1and &lt;S5years_;_After 5 years;Total;Positive market value;Negative market value;Net market value
terest rate related:;;;;;;;
OTC;14,487,820;10,421,941;7,332,258;32,242,019;144,155;132,350;11,805
Bilateral (Amt);1,422,223;2,200,127;1,501,758;5,124,107;118,768;107,854;10,914
CCP (Amt);13,065,597;8,221,814;5,830,501;27,117,911;25,387;24,496;891
Exchange-traded;515,543;117,763;45;633,351;663;624;39
otal Interest rate related;15,003,362;10,539,704;7,332,304;32,875,370;144,818;132,974;11,844
‘urrency related:;;;;;;;
OTC;6,368,113;1,007,862;403,215;7,779,190;141,531;135,670;5,861
Bilateral (Amt);6,246,281;998,771;403,037;7,648,090;140,039;134,420;5,619
CCP (Amt);121,831;9,090;178;131,100;1,492;1,250;242
Exchange-traded;19,869;0;0;19,869;17;20;(3)
otal Currency related;6,387,981;1,007,862;403,215;7,799,058;141,548;135,690;5,858
quity/index related:;;;;;;;
OTC;14,769;8,447;1,021;24,236;598;2,012;(1,414)
Bilateral (Amt);14,769;8,447;1,021;24,236;598;2,012;(1,414)
CCP (Amt);0;0;0;0;0;0;0
Exchange-traded;156,839;44,868;1,078;202,784;3,213;2,978;234
otal Equity/index related;171,607;53,315;2,099;227,021;3,811;4,991;(1,179)
‘redit derivatives related;;;;;;;
OTC;193,047;1,238,463;91,903;1,523,414;9,899;8,311;1,589
Bilateral (Amt);101,699;87,969;30,933;220,600;3,611;2,078;1,533
CCP (Amt);91,348;1,150,495;60,970;1,302,813;6,288;6,233;55
Exchange-traded;0;0;0;0;0;0;0
otal Credit derivatives related;193,047;1,238,463;91,903;1,523,414;9,899;8,311;1,589
‘ommodity related:;;;;;;;
OTC;1,827;16,546;1,492;19,865;86;231;(144)
Bilateral (Amt);1,827;16,546;1,492;19,865;86;230;(145)
CCP (Amt);0;0;0;0;0;0;0
Exchange-traded;21,943;1,860;0;23,803;177;186;(9)
otal Commodity related;23,770;18,405;1,492;43,668;263;416;(154)
ther:;;;;;;;
OTC;48,427;4,877;106;53,410;752;747;5
Bilateral (Amt);48,427;4,877;106;53,410;752;747;5
CCP (Amt);0;0;0;0;0;0;0
Exchange-traded;5,250;0;0;5,250;12;11;1
otal Other;53,676;4,877;106;58,660;764;758;6
otal OTC business;21,114,002;12,698,136;7,829,996;41,642,134;297,022;279,320;17,702
Total bilateral business;7,835,226;3,316,737;1,938,347;13,090,309;263,854;247,341;16,513
Total CCP business;13,278,776;9,381,399;5,890;28,551,825;0;31,979;1,189
;719,442;;;;;;;
;21,833,444;12,862,626;7,831,119;42,527,190;301,103;283,139;17,964
ositive market values after netting nd cash collateral received;=;=;=;=;29,744;=;="
