"in€m;CRR/CRD;CRR/CRD
Common Equity Tier 1 (CET 1) capital: instruments and reserves;;
Capital instruments, related share premium accounts and other reserves;44,908;45,458
Retained earnings;16,509;12,305
Accumulated other comprehensive income (loss), net of tax;(1,760);(1,314)
Independently reviewed interim profits net of any foreseeable charge or dividend*;3,493;4,183
Other;973;1,002
Common Equity Tier 1 (CET 1) capital before regulatory adjustments;64,124;61,634
Common Equity Tier 1 (CET 1) capital: regulatory adjustments;;
Additional value adjustments (negative amount);(1,727);(2,026)
Other prudential filters (other than additional value adjustments);(126);600
Goodwill and other intangible assets (net of related tax liabilities) (negative amount);(5,014);(5,024)
Deferred tax assets that rely on future profitability excluding those arising from temporary differences (net of related tax liabilities where the conditions in Art. 38 (3) CRR are met) (negative amount);(4,207);(3,244)
Negative amounts resulting from the calculation of expected loss amounts;(2,386);(466)
Defined benefit pension fund assets (net of related tax liabilities) (negative amount);(920);(1,149)
Direct, indirect and synthetic holdings by an institution of own CET 1 instruments (negative amount);(0);(0)
Direct, indirect and synthetic holdings by the institution of the CET 1 instruments of financial sector entities where the institution has a significant investment in those entities (amount above the 10% / 15% thresholds and net of eligible short positions) (negative amount);0;0
Deferred tax assets arising from temporary differences (net of related tax liabilities where the conditions in Art. 38 (3) CRR are met) (amount above the 10% / 15% thresholds) (negative amount);0;0
Other regulatory adjustments?;(1,679);(2,225)
Total regulatory adjustments to Common Equity Tier 1 (CET 1) capital;(16,058);(13,536)
Common Equity Tier 1 (CET 1) capital;48,066;48,097
Additional Tier 1 (AT1) capital: instruments;;
Capital instruments and the related share premium accounts;8,578;8,578
Amount of qualifying items referred to in Art. 484 (4) CRR and the related share premium accounts subject to phase out from AT1;0;0
Additional Tier 1 (AT1) capital before regulatory adjustments;8,578;8,578
Additional Tier 1 (AT1) capital: regulatory adjustments;;
Direct, indirect and synthetic holdings by an institution of own AT1 instruments (negative amount);(250);(60)
Residual amounts deducted from AT1 capital with regard to deduction from CET 1 capital during the transitional period pursuant to Art. 472 CRR;;
Other regulatory adjustments;0;0
Total regulatory adjustments to Additional Tier 1 (AT1) capital;(250);(60)
Additional Tier 1 (AT1) capital;8,328;8,518
Tier 1 capital (Tl =CET 1 +AT1);56,395;56,616
Tier 2 (T2) capital;8,610;9,531
Total capital (TC =T1 +T2);65,005;66,146
Total risk-weighted assets;349,742;360,003
Capital ratios;;
Common Equity Tier 1 capital ratio (as a percentage of risk-weighted assets);13.7;13.4
Tier 1 capital ratio (as a percentage of risk-weighted assets);16.1;15.7
Total capital ratio (as a percentage of risk-weighted assets);18.6;18.4"
