"in€m Market risk RWA balance, beginning of year; ; ; IRC; Other; Total RWA; Total capital requirements
VaR;SvaR; ; ; ; ; 
7,413;12,221; ; ; ; ; 
Movement in risk levels; (1,901); (1,724); 3,647; 72; 95; 8
Market data changes and recalibrations; (393); (10); 0; (53); (456); (36)
Model updates/changes; 77; (663); (158); ); (745); (60)
Methodology and policy; (1,446); (2,735); 0; 722; (3,459); (277)
Acquisitions and disposals; 0; 0; 0; 0; 0; 
Foreign exchange movements; 0; 0; 0; (57); (57); (5)
Other; 0; 0; 0; 0; 0; 0
Market risk RWA balance, end of year; 3,750; 7,090; 7,129; 3,542; 21,510; 1,721"
