";in€t;in %;in€t.;in %;in€t;in€t.;in %;
ixed compensation components:;
Base salary;3,600;72%;3,600;82%;3,150+;771%;2,900;77%;
Pension allowance;0;0%;0;0%;0;0%;0;0%;
Fringe benefits;255;5%;216;5%;72;2%;84;2%;
otal fixed compensation;3,855;77%;3,816;87%;3,222;79%;2,984;79%;
ariable compensation components:;
Deferred variable compensation;;
thereof Restricted Incentive Awards:;
2017 Restricted Incentive Award: Sign On;;;;
2019 Restricted Incentive Award for 2018;0;0%;0;0%;0;0%;0;0%;
2020 Restricted Incentive Award for 2019;0;0%;0;0%;0;0%;0;0%;
2021 Restricted Incentive Award for 2020;188;4%;188;4%;74;2%;74;2%;
2022 Restricted Incentive Award for 2021;399;8%;0;0%;395;10%;0;0%;
thereof Equity Awards:;0;0%;0;0%;0;0%;0;0%;
Fringe benefits;0;0%;0;0%;0;0%;0;0%;
otal variable compensation;587;20%;188;7%;470;12%;74;2%;
otal compensation;2,990;100%;2,593;100%;3,767;100%;3,412;100%;"
