"in€m.;at amortized cost!;trading - at fair value through P&amp;L;Designated / mandatory at fair value through P&amp;L.;at fair value through OCP;Revocable and irrevocable lending commitments?;Contingent liabilities;OTC derivatives at fair value through P&amp;L*
Agriculture, forestry and fishing;384;2;0;0;224;32;1
Mining and quarrying;2,774;230;126;0;4,893;1,409;47
Manufacturing;28,397;285;5;1,877;53,572;13,809;1,303
Electricity, gas, steam and air conditioning supply;4,081;307;75;272;6,475;2,967;142
Water supply, sewerage, waste management and remediation activities;486;0;0;0;523;148;38
Construction;4,257;217;1;20;2,965;3,060;7
Wholesale and retail trade, repair of motor vehicles and motorcycles;21,030;233;79;784;16,540;6,247;599
Transport and storage;4,924;616;13;63;6,088;1,108;173
Accommodation and food service activities;1,862;3;0;0;1,015;138;10
Information and communication;7,589;372;21;100;13,244;3,209;289
Financial and insurance activities;110,901;3,840;276;1,281;90,138;28,491;18,175
Real estate activities;49,267;1,302;103;122;7,061;183;304
Professional, scientific and technical activities;6,889;68;0;0;6,190;2,213;172
Administrative and support service activities;8,911;148;169;157;5,007;577;486
Public administration and defense, compulsory social security;5,731;364;10;27;6,759;123;303
Education;279;2;0;0;72;55;68
Human health services and social work activities;4,390;42;0;0;1,725;127;53
Arts, entertainment and recreation;1,017;22;0;33;1,402;102;49
Other service activities;4,727;183;10;130;4,534;850;165
Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;210,981;0;0;1;26,981;282;140"
