"_SsSC~S;Debt Securities _;Debt Securities _;Debt Securities _;Repo and repo-style transactions? _;Repo and repo-style transactions? _
;at amortized |;at fair value through P&amp;L;at fair value through OCI®;;at fair value through OCI
United Kingdom;100;200;300;400;500
France;150;250;350;450;550
Luxembourg;200;300;400;500;600
Italy;250;350;450;550;650
Netherlands;300;400;500;600;700
Spain;350;450;550;650;750
Ireland;400;500;600;700;800
Switzerland;450;550;650;750;850
Poland;500;600;700;800;900
Belgium;550;650;750;850;950
Russian Federation®;600;700;800;900;1000
Ukraine®;650;750;850;950;1050
Other Europe®;700;800;900;1000;1100
North America;750;850;950;1050;1150
Cayman Islands;800;900;1000;1100;1200
Canada;850;950;1050;1150;1250
Other North America;900;1000;1100;1200;1300
Hong Kong;950;1050;1150;1250;1350
Other Asia/P acific;1000;1100;1200;1300;1400"
