"1€m;Within 1 year;&gt;1and &lt;S5years_;_After 5 years;Total;Positive market value;Negative market value;Net market value
Interest rate related:;
OTC;17,224,862;13,754,903;9,568,113;40,547,878;124,837;112,997;11,840
Bilateral (Amt);2,037,922;2,251,346;1,446,299;5,735,567;103,140;92,035;11,105
CCP (Amt);15,186,940;11,503,557;8,121,813;34,812,311;21,696;20,961;735
Exchange-traded;1,916,294;403,196;47;2,319,537;418;493;(75)
Total Interest rate related;19,141,156;14,158,099;9,568,160;42,867,415;125,255;113,490;11,764
Currency related:;
OTC;6,609,578;1,055,879;427,832;8,093,289;108,652;105,818;2,834
Bilateral (Amt);6,443,644;1,046,148;427,719;7,917,512;107,415;104,614;2,801
CCP (Amt);165,933;9,730;113;175,777;1,237;1,204;33
Exchange-traded;11,265;0;0;11,265;1;17;(16)
Total Currency related;6,620,842;1,055,879;427,832;8,104,553;108,653;105,835;2,818
Equity/index related:;
OTC;17,014;7,937;647;25,599;1,209;2,574;(1,365)
Bilateral (Amt);17,014;7,937;647;25,599;1,209;2,574;(1,365)
CCP (Amt);0;0;0;0;0;0;0
Exchange-traded;164,955;25,648;1,523;192,126;2,391;2,103;288
Total Equity/index related;181,970;33,586;2,170;217,726;3,600;4,677;(1,077)
Credit derivatives related:;
OTC;200,396;855,230;71,584;1,127,210;13,895;13,379;517
Bilateral (Amt);72,835;94,804;33,716;201,355;3,142;2,715;427
CCP (Amt);127,561;760,426;37,868;925,854;10,754;10,664;90
Exchange-traded;0;0;0;0;0;0;0
Total Credit derivatives related;200,396;855,230;71,584;1,127,210;13,895;13,379;517
Commodity related:;
OTC;7,150;31,576;2,037;40,764;203;140;63
Bilateral (Amt);7,150;31,576;2,037;40,764;203;139;64
CCP (Amt);0;0;0;0;0;1;(1)
Exchange-traded;25,369;1,347;0;26,716;141;139;2
Total Commodity related;32,519;32,923;2,037;67,479;344;279;65
Other:;
OTC;57,766;3,924;102;61,791;971;819;152
Bilateral (Amt);57,750;3,924;102;61,776;956;819;137
CCP (Amt);15;0;0;15;15;0;15
Exchange-traded;11,008;21;0;11,029;27;33;(6)
Total Other;68,774;3,945;102;72,820;998;852;146
Total OTC business;24,116,765;15,709,449;10,070,316;49,896,530;249,766;235,726;14,041
Total bilateral business;8,636,315;3,435,736;1,910,521;13,982,573;216,064;202,895;13,169
Total CCP business;15,480,450;12,273,713;8,159,794;35,913,958;33,702;32,830;872
Total exchange-traded business;2,128,891;430,212;1,570;2,560,673;2,979;2,786;193
Total;26,245,656;16,139,661;10,071,885;52,457,203;252,745;238,511;14,234"
