"in€m.;Germany;UK;US.;Other;;Total;_ Germany;UK;US.;Other;Total
Cash and cash equivalents;179;92;53;71;;395;34;551;56;69;710
Equity instruments?;1,213;0;109;215;;1,537;1,046;174;108;186;1,514
Investment-grade bonds?;Government;1,882;919;366;189;;3,356;1,860;537;346;169;2,912
Non-government bonds;4,081;915;369;347;;5,712;3,898;1,302;385;315;5,900
Non-investment-grade bonds;Government;103;1;1;4;;109;89;1;2;3;95
Non-government bonds;325;73;16;21;;435;282;168;13;17;480
Securitized and other Debt;47;99;78;10;;234;45;47;81;7;180
Investments;;;;;;;;
Insurance;) ;1,807;0;15;;1,822;) ;1,193;0;9;1,202
Alternatives;Real estate;727;0;0;97;;824;690;0;0;105;795
Commodities;39;0;0;4;;43;41;0;0;5;46
Private equity;0;0;0;3;;3;0;0;0;2;2
Other?;1,022;0;0;60;;1,082;1,008;0;0;51;1,059
Derivatives (Market Value);Interest rate;909;171;(3);17;;1,094;1,294;229;13;7;1,543
Credit;(18);(1);16;0;;(3);6;(112);7;0;(99)
Inflation;0;(5);0;13;;8;0;(14);0;13;(1)
Foreign exchange;21;0;0;5;;26;55;(5);0;4;54
Other;2;(159);(2);0;;(159);3;(303);(15);0;(315)
Total fair value of plan assets;10,532;3,912;1,003;1,071;;16,518;10,351;3,768;996;962;16,077"
