"in€m;Retail investment management agreements;Other;Unamortized Total unamortized purchased intangible assets;Customer- related intangible assets;Contract- based —_intangible assets;Software and other;Amortized Total amortized purchased _ intangible assets;Software; 
Balance as of January 1, 2022;1,017;440;1,457;1,398;70;789;2,257;9,018;12,732
Additions Changes in the group of;0;0;0;0;0;a5;a5;1,145;1,191
consolidated companies;0;0;0;0;0;(6);(6);(20);(26)
Disposals;0;0;0;0;0;37;37;122;160
colspan=""10"";Reclassifications from
(to) “held for sale"";0;0;0;0;0;0;0;(32);(32)
Transfers;0;0;0;(9);0;0;(9);0;(9)
Exchange rate changes Balance as of;67;0;67;32;0;0;32;128;226
December 31,2022;1,083;441;1,524;1,421;70;192;2,283;10,116;13,923
Additions Changes in the group of;0;0;0;56;0;66;122;1,314;1,436
consolidated companies;0;0;0;0;0;0;0;0; 
Disposals;0;0;0;0;0;0;0;n;R
Reclassifications from; ; ; ; ; ; ; ; ; 
(10) “held for sale”;0;0;0;0;0;0;0;0;0
Transfers;0;0;0;0;0;(4);(4);0;(4)
Exchange rate changes; (37);0;(37);(21);0;0;(21);(72);(130)
December 31, 2023 ‘Accumulated amortization;1,046;440;1,486;1,456;70;854;2,380;11,288;15,154
colspan=""10"";and impairme
Balance as of;257;439;696;1,383;70;662;2,115;5,904;8,714
January 1, 2022; ; ; ; ; ; ; ; ; 
Amortization year;0;0;0;3;0;37;40;980;1,020""
for the; ; ; ; ; ; ; ; ; 
Changes in the group of; ; ; ; ; ; ; ; ; 
consolidated companies;0;0;0;0;0;(6);(6);(20);(26)
Disposals;0;0;0;0;0;35;35;122;157
Reclassifications from; ; ; ; ; ; ; ; ; 
(to) “held for sale"";0;0;0;0;0;0;0;(25);(25)
Impairment losses;68;0;68;0;0;0;0;30;98
Reversals of impairment;5;5;5;3;5;5;3;5;»
losses; ; ; ; ; ; ; ; ; 
Transfers;0;0;0;3;0;0;3;0;3
Exchange rate changes;Ww;0;7;31;0;0;31;18;126
Balance as of December 31, 2022;342;439;781;1,417;70;659;2,146;6,824;9,750
Amortization for the year;0;0;0;3;0;35;38;1,027;1,064*
in the of; ; ; ; ; ; ; ; ; 
Changes group consolidated companies;0;0;0;0;0;0;0;0;0
Disposals;0;0;0;0;0;0;0;n;R
Reclassifications from; ; ; ; ; ; ; ; ; 
“held for sale"";5;5;5;5;5;5;0;5;5
(to) losses;0;0;0;0;0;0;0;24;245
Impairment Reversals of impairment; ; ; ; ; ; ; ; ; 
losses;0;0;0;0;0;0;0;0;0
Transfers;0;0;0;0;0;(3);(3);0; 
Exchange rate changes;(12);0;(12);(20);0;a;(20);(54);(87)
Balance as of;330;439;769;1,399;70;690;2,159;7,149;10,676
colspan=""10"";December 31, 2023
colspan=""10"";Carrying amount:
As of December 31, 2022;741;2;743;4;0;133;137;3,293;4,173
As of December 31, 2023;716;1;717;57;0;164;221;3,539;4,478"
