"€m;2022;2023
Cost of purchased cleaning and security services;637;669
Warranty expenses, refunds and compensation payments;483;538
Currency translation expenses;673;433
Expenses for advertising and public relations;398;372
Other business taxes;380;363
Travel and training costs;371;361
Insurance costs;250;292
Office supplies;257;242
Telecommunication costs;236;238
Customs-clearance-related charges;195;226
Entertainment and corporate hospitality expenses;233;213
Consulting costs (including tax advice);154;139
Commissions paid;92;109
Monetary transaction costs;115;108
Write-downs and remeasurements;211;67
Miscellaneous other operating expenses Total;1,027;1,039
Total;5,712;5,409"
