"csv
Capex;Propor- tionof Capex;Climate change mitigation;Climate change adaptation;Water;Circular economy;Pollution;diversity;Climate Bio- change mitigation;adaptation;Climate change Water;Circular economy;Pollution;Bio- diversity;Minimum safe- guards;Proportion Taxonomy- aligned (A.1) or-eligible (A.2) Capex;of Category enabling activity;Categor' _ transi __tiona activit
Economic activities (1);Code (2);2023;Substantial contribution criteria;DNSH criteria (do no significant harm);2022
€m;%;Yt; N?; N/EL?;Y;N; N/EL;Y;N; N/EL;Y;N; N/EL;Y;N; N/EL;% E*; 
ATaxonomy-eligible activities
A.1 Environmentally sustainable activities (Taxonomy-aligned); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Transport; ;2,004;29.4; ; ; ; ; ; ; ; ; ; ; ; ;25.2; ; 
Operation of personal mobility devices, cycle logistics;CCM 6.4;16;0.0;Y;N;N/EL;N/EL;N/EL;N/EL;Y;Y;Y;Y;0.0; 
Transport by motorbikes, passenger cars and light commercial vehicles;CCM 6.5;2,958;4.4;Y;N;N/EL;N/EL;N/EL;N/EL;Y;Y;Y;Y;2.5; 
Transport by motorbikes, passenger cars and light commercial vehicles;CCM 6.5;29;0.0;Y;N;N/EL;N/EL;N/EL;N/EL;Y;Y;Y;Y;0.0; 
Freight transport services by road;CCM 6.6;6,410;0.9;Y;N;N/EL;N/EL;N/EL;N/EL;Y;Y;Y;Y;0.2; 
Infrastructure enabling low-carbon road transport and public transport;CCM 6.15;1,642;24.1;Y;N/EL;N/EL;N/EL;N/EL;N/EL;Y;Y;Y;Y;Y;Y;22.5;E; 
Construction and real estate activities; ;35;0.5; ; ; ; ; ; ; ; ; ; ; ; ;0.0; ; 
Installation, maintenance and repair of renewable energy technologies;CCM 7.6;512;0.1;Y;N;N/EL;N/EL;N/EL;N/EL;Y;Y;Y;Y;Y;Y;0.0;E; 
Acquisition and ownership of buildings;CCM 7.7;3,013;0.4;Y;N;N/EL;N/EL;N/EL;N/EL;Y;Y;Y;Y;Y;Y;0.0; 
Capex of environmentally sustainable activities (Taxonomy-aligned) (A.1);2,039;29.9;29.9%;0.0%;25.2; 
Of which Enabling; ;1,647;24.2;24.2%;0.0%;Y;Y;Y;Y;Y;Y;22.5;E; 
Of which Transitional; ;2;0.0;0.0%;Y;Y;Y;Y;Y;Y;0.0; 
A.2 Taxonomy-eligible but not environmentally sustainable activities (not Taxonomy-aligned activities); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Transport; ;2,845;41.7; ; ; ; ; ; ; ; ; ; ; ; ;20.0; ; 
Transport by motorbikes, passenger cars and light commercial vehicles;CCM 6.5;247;3.6;EL;EL;N/EL;N/EL;N/EL;N/EL; ;2.3; 
Freight transport services by road;CCM 6.6;393;5.8;EL;EL;N/EL;N/EL;N/EL;N/EL; ;5.5;"
