Unnamed: 0,hierarchical,pdf name,gri,gri_finegrained,page nbr,table nbr,question,value,row,column
0,0,['NYSE_E_2023.pdf'],302,302-1.7,[163],[0],What was the total energy consumption within the organization in millions of GJ in 2023?,516.2,31,3
1,0,['NYSE_E_2023.pdf'],302,302-1.2,[163],[0],How much electricity was produced from renewable sources in Gwh in 2022?,2.836,23,5
2,0,['NYSE_E_2023.pdf'],302,302-1.4,[163],[0],How much electricity was sold to other companies in millions of GJ in 2023?,192.7,35,3
3,0,['NYSE_E_2023.pdf'],302,302-3.1,[163],[0],What was the percentage of energy intensity index for the organization in 2023?,123,37,3
4,0,['NYSE_E_2023.pdf'],302,302-1.8,[163],[0],What was the total energy consumption from renewable energy sources in millions of GJ in 2021?,1.5,32,6
5,0,['NYSE_E_2023.pdf'],302,302-1.7,[163],[0],What was the total energy consumption within the organization in millions of GJ in 2022?,503.2,31,5
6,0,['NYSE_E_2023.pdf'],302,302-1.5,[163],[0],How much heating was sold to other companies in millions of GJ in 2023?,5.2,36,3
7,0,['NYSE_E_2023.pdf'],302,302-1.2,[163],[0],How much electricity was produced from renewable sources in Gwh in 2021?,1.166,23,6
8,0,['NYSE_E_2023.pdf'],303,303-3.10,[178],[0],What was the total water withdrawal in 2023 (million m3)?,1224,3,3
9,1,['NYSE_E_2023.pdf'],303,303-3.3,[178],[0],How much seawater was withdrawn in 2022 (million m3)?,1283,4,5
10,1,['NYSE_E_2023.pdf'],303,303-3.9,[178],[0],What was the total freshwater withdrawal in 2021 in million m3?,117,5,6
11,1,['NYSE_E_2023.pdf'],303,303-3.3,[178],[0],What was the total water withdrawal from surface water bodies in 2023 in million m3?,97,6,3
12,1,['NYSE_E_2023.pdf'],303,303-3.2,[178],[0],How much water was withdrawn from underground sources in 2022 in million m3?,17,7,5
13,0,['NYSE_E_2023.pdf'],303,303-4.8,[178],[0],What was the total water discharge in 2023 (million m3)?,1118,17,3
14,0,['NYSE_E_2023.pdf'],303,303-4.6,[178],[0],What was the total volume of freshwater discharge in areas with water stress in 2022 (million m3)?,18.8,22,5
