,old_index,checked,"Error (0 no error, 1 value err, 2 unrelated, 3 hierarchical)",pdf name,gri,gri_finegrained,page nbr,table nbr,question,value,row,column
0,0,1,,NYSE_E_2023.pdf,302,302-1.7,163,0,What was the total energy consumption within the organization in millions of GJ in 2023?,516.2,,
1,1,1,1,NYSE_E_2023.pdf,302,302-1.2,163,0,How much electricity was produced from renewable sources in Gwh in 2022?,2836,,
2,3,1,,NYSE_E_2023.pdf,302,302-1.4,163,0,How much electricity was sold to other companies in millions of GJ in 2023?,192.7,,
3,4,1,,NYSE_E_2023.pdf,302,302-3.1,163,0,What was the percentage of energy intensity index for the organization in 2023?,123,,
4,5,1,,NYSE_E_2023.pdf,302,302-1.8,163,0,What was the total energy consumption from renewable energy sources in millions of GJ in 2021?,1.5,,
5,6,1,1,NYSE_E_2023.pdf,302,302-1.7,163,0,What was the total energy consumption within the organization in millions of GJ in 2022?,503.2,,
6,7,1,,NYSE_E_2023.pdf,302,302-1.5,163,0,How much heating was sold to other companies in millions of GJ in 2023?,5.2,,
7,9,1,1,NYSE_E_2023.pdf,302,302-1.2,163,0,How much electricity was produced from renewable sources in Gwh in 2021?,1.166,,
8,20,1,,NYSE_E_2023.pdf,303,303-3.10,178,0,What was the total water withdrawal in 2023 (million m3)?,1224,,
9,21,1,3,NYSE_E_2023.pdf,303,303-3.3,178,0,How much seawater was withdrawn in 2022 (million m3)?,1283,,
10,22,1,3,NYSE_E_2023.pdf,303,303-3.9,178,0,What was the total freshwater withdrawal in 2021 in million m3?,117,,
11,23,1,3,NYSE_E_2023.pdf,303,303-3.3,178,0,What was the total water withdrawal from surface water bodies in 2023 in million m3?,97,,
12,24,1,3,NYSE_E_2023.pdf,303,303-3.2,178,0,How much water was withdrawn from underground sources in 2022 in million m3?,17,,
13,25,1,,NYSE_E_2023.pdf,303,303-4.8,178,0,What was the total water discharge in 2023 (million m3)?,1118,,
14,26,1,1,NYSE_E_2023.pdf,303,303-4.6,178,0,What was the total volume of freshwater discharge in areas with water stress in 2022 (million m3)?,18.8,,
