index,question,value,response
0,What are the top 5 lowest water consumption values (in ascending order) obtained by summing the 2023 and 2022 consumption for the following companies in million cubic meters?,"0.91, 9.89, 13.44, 20.4, 80.6","6.66, 6.78, 8.20, 12.20, 35.40"
1,What is the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,5.6,0.20
2,Which companies have the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in MtCO2eq?,"OTC_ESOCF, munich-re, NYSE_AZ","34.51, 53.07, 33.09"
3,What is the highest average energy consumed in the last 2 years among the following companies in TWh?,161.5,71.22
4,Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,OTC_ESOCF,"Company A, Company B, Company C"
5,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,420.52,"1.54, 1.66"
6,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in million mt CO2e?,OTC_RWNEF,179.52
7,What are the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in million mt CO2e?,"73.65, 1.9, 0.04","85.40, 61.90, 21.60"
8,What is the largest percentage of energy consumption from renewable sources in 2022 among the following companies?,84.0,90.00%
9,What are the top 4 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in TWh?,"161.5, 94.01, 34.77, 1.16","33.09, 33.26, 166.00, 157.00"
10,Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,OTC_DPSGY,"Percentage of ISO 50001-certified sites, Percentage of workforce covered by ISO 50001 certified sites, Share of suppliers by weight of GHG emissions committed to a science-based reduction approach, Share of renewable electricity"
11,Which companies have the top 4 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in TWh?,"NYSE_TTE, heidelberg-materials, OTC_DPSGY, OTC_SU","33.09, 33.26, 166.00, 157.00"
12,What is the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the following companies?,66.59,"62.90%, 57.30%"
13,What are the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in TCO2eq?,"10759.5, 21490.0","537.00, 925.00"
14,Which company has the highest average amount of waste generated in the years 2023 and 2022 among the following companies in kt?,OTC_BAMGF,1276.70
15,Which companies have the top 5 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"prosiebensat1-media, NASDAQ_DASTY, OTC_SU, heidelberg-materials, NYSE_TTE","71218.00, 82766.00, 1124327.00, 1201276.00, 1325491.00"
