Unnamed: 0,pdf name,page nbr,table nbr,answer_value,answer_company,unit,years,question,question_type_ext,gri,value
0,"['NYSE_TTE_2023', 'OTC_SU_2023', 'vivendi_2023']","['387', '309', '140']","['3', '0', '0']",35.34,['NYSE_TTE'],,[2022],What is the highest percentage of hazardous waste generated in 2022 among the following companies?,multistep_sup,306,35.34
1,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'heidelberg-materials_2023']","['117', '381', '374']","['0', '0', '0']",13.95,['NASDAQ_DASTY'],,"[2023, 2022]",Which company has the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,multistep_sup,302,NASDAQ_DASTY
2,"['axa_2023', 'munich-re_2023', 'vivendi_2023']","['179', '46', '105']","['0', '0', '0']",[38378.5 21490.  10759.5],"['munich-re', 'axa', 'vivendi']",TCO2eq,"[2023, 2022]",What are the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in TCO2eq?,multistep_rank,305,"38378.5, 21490.0, 10759.5"
3,"['NASDAQ_DASTY_2023', 'OTC_BAYZF_2023', 'vivendi_2023']","['141', '63', '105']","['0', '0', '0']",12180000.0,['OTC_BAYZF'],TCO2eq,[2023],Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in TCO2eq?,multistep_sup,305,OTC_BAYZF
4,"['OTC_SU_2023', 'heidelberg-materials_2023', 'vivendi_2023']","['309', '358', '140']","['0', '0', '0']",11.38,[],,[2022],What is the average percentage of hazardous waste generated in 2022 among the following companies?,multistep_mean,306,11.38
5,"['NASDAQ_DASTY_2023', 'OTC_SU_2023', 'prosiebensat1-media_2023']","['117', '310', '64']","['0', '1', '0']",66350.0,['prosiebensat1-media'],MWh,"[2023, 2022]",What is the lowest total energy consumption over the last 2 years among the following companies in MWh?,multistep_sup,302,66350.0
6,"['NASDAQ_DASTY_2023', 'OTC_ESOCF_2023', 'munich-re_2023']","['141', '137', '46']","['0', '0', '0']",98.83,['OTC_ESOCF'],MtCO2eq,[2023],What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in MtCO2eq?,multistep_sup,305,98.83
7,"['OTC_ESOCF_2023', 'OTC_RWNEF_2023', 'axa_2023']","['137', '79', '179']","['0', '0', '0']",117.97,[],,[2023],What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,multistep_mean,305,117.97
8,"['NYSE_TTE_2023', 'OTC_DPSGY_2023', 'munich-re_2023']","['381', '3', '47']","['0', '0', '1']",20.01,['munich-re'],,"[2023, 2022]",What is the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,multistep_sup,302,20.01
9,"['NYSE_TTE_2023', 'OTC_SU_2023', 'vivendi_2023']","['387', '309', '140']","['3', '0', '0']",509500.0,['NYSE_TTE'],tons,"[2023, 2022]",What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tons?,multistep_sup,306,509500.0
10,"['NYSE_TTE_2023', 'heidelberg-materials_2023', 'vivendi_2023']","['387', '358', '140']","['3', '0', '0']",[ 2.   25.97],"['heidelberg-materials', 'vivendi']",,[2022],What are the 2 lowest percentages of hazardous waste generated in 2022 (sorted in ascending order) among the following companies?,multistep_rank,306,"2.0, 25.97"
11,"['NASDAQ_DASTY_2023', 'deutsche-telekom-ag_2023', 'munich-re_2023']","['117', '46', '47']","['0', '0', '1']",[   76992.   282307. 12747000.],"['NASDAQ_DASTY', 'munich-re', 'deutsche-telekom-ag']",MWh,"[2023, 2022]",What are the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,multistep_rank,302,"76992.0, 282307.0, 12747000.0"
