Unnamed: 0,pdf name,page nbr,table nbr,answer_value,answer_company,unit,years,question,question_type_ext,gri,value
0,"['OTC_SU_2023', 'vivendi_2023']","['309', '140']","['0', '0']",[  8430 123311],"['vivendi', 'OTC_SU']",tons,[2022],What are the 2 lowest amounts of non-hazardous waste produced in 2022 (sorted in ascending order) among the following companies in tons?,rank,306,"8430, 123311"
1,"['NYSE_TTE_2023', 'heidelberg-materials_2023']","['381', '374']","['0', '0']",91.6,['heidelberg-materials'],TWh,"[2023, 2022, 2021]",Which company has the lowest energy consumption over the last 3 years among the following companies in TWh?,sup,302,heidelberg-materials
2,"['NASDAQ_DASTY_2023', 'OTC_BAYZF_2023']","['141', '63']","['0', '0']",1910000.0,['OTC_BAYZF'],tCO2-eq,"[2023, 2022]",What is the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2-eq?,sup,305,1910000.0
3,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023']","['141', '60']","['0', '0']",31774.0,['NYSE_AZ'],tCO2-eq,"[2023, 2022]",Which company has the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2-eq?,sup,305,NYSE_AZ
5,"['NASDAQ_DASTY_2023', 'OTC_RWNEF_2023']","['141', '79']","['0', '0']",[6.190e+07 4.178e+03],"['OTC_RWNEF', 'NASDAQ_DASTY']",tCO2-eq,[2023],What are the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in tCO2-eq?,rank,305,"61900000.0, 4178.0"
6,"['NYSE_AZ_2023', 'OTC_RWNEF_2023']","['60', '79']","['0', '0']",100000.0,['OTC_RWNEF'],tCO2e,"[2023, 2022]",What is the lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in tCO2e?,sup,305,100000.0
8,"['NYSE_AZ_2023', 'OTC_BAYZF_2023']","['60', '63']","['0', '0']",[  92467. 9720000.],"['NYSE_AZ', 'OTC_BAYZF']",tCO2e,[2022],Which companies have the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tCO2e?,rank,305,"NYSE_AZ, OTC_BAYZF"
9,"['OTC_DPSGY_2023', 'OTC_SU_2023']","['3', '310']","['0', '1']",[35056.    1124.33],"['OTC_DPSGY', 'OTC_SU']",million kWh,[2023],What are the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in million kWh?,rank,302,"35056.0, 1124.33"
10,"['NYSE_AZ_2023', 'axa_2023']","['60', '179']","['0', '0']",[21598. 31774.],"['axa', 'NYSE_AZ']",tCO2eq,[2023],What are the 2 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2eq?,rank,305,"21598.0, 31774.0"
11,"['OTC_ADDDF_2023', 'OTC_BAYZF_2023']","['84', '63']","['0', '0']",[0.14 1.12],"['OTC_ADDDF', 'OTC_BAYZF']",Million metric tons of CO2 equivalents,[2022],What are the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"0.14, 1.12"
12,"['OTC_BAMGF_2023', 'OTC_CRERF_2023']","['310', '72']","['0', '0']",12200000.0,['OTC_CRERF'],m3,"[2023, 2022]",Which company has the highest water consumption in the years 2023 and 2022 for the following companies in m3?,sup,303,OTC_CRERF
13,"['OTC_BAMGF_2023', 'OTC_BAYZF_2023']","['310', '132']","['0', '0']",[5.05 6.78],"['OTC_BAMGF', 'OTC_BAYZF']",million cubic meters,[2023],Which companies have the top 2 lowest water consumption values (in ascending order) for the year 2023 among the following companies in million cubic meters?,rank,303,"OTC_BAMGF, OTC_BAYZF"
14,"['NYSE_TTE_2023', 'OTC_SU_2023']","['387', '309']","['3', '0']",[322.   123.31],"['NYSE_TTE', 'OTC_SU']",kt,[2022],What are the 2 highest amounts of non-hazardous waste produced in 2022 (sorted in descending order) among the following companies in kt?,rank,306,"322.0, 123.31"
15,"['OTC_SU_2023', 'vivendi_2023']","['309', '140']","['0', '0']",[  8430 123311],"['vivendi', 'OTC_SU']",tons,[2022],Which companies have the 2 lowest amounts of non-hazardous waste produced in 2022 (sorted in ascending order) among the following companies in tons?,rank,306,"vivendi, OTC_SU"
16,"['NASDAQ_DASTY_2023', 'OTC_SU_2023']","['117', '310']","['0', '1']",1201276,['OTC_SU'],MWh,"[2023, 2022]",Which company has the highest energy consumed in the last 2 years among the following companies in MWh?,sup,302,OTC_SU
17,"['NYSE_AZ_2023', 'vivendi_2023']","['60', '105']","['0', '0']",[19496. 30490.],"['vivendi', 'NYSE_AZ']",tCO2e,[2022],What are the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tCO2e?,rank,305,"19496.0, 30490.0"
18,"['OTC_ADDDF_2023', 'OTC_BAYZF_2023']","['84', '63']","['0', '0']",[0.14 1.12],"['OTC_ADDDF', 'OTC_BAYZF']",Million metric tons of CO2 equivalents,[2022],Which companies have the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"OTC_ADDDF, OTC_BAYZF"
20,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023']","['141', '84']","['0', '0']",[ 4178. 21779.],"['NASDAQ_DASTY', 'OTC_ADDDF']",tCO2-eq,[2023],What are the 2 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2-eq?,rank,305,"4178.0, 21779.0"
21,"['OTC_RWNEF_2023', 'vivendi_2023']","['79', '105']","['0', '0']",[0.2  0.02],"['OTC_RWNEF', 'vivendi']",million mt CO2e,[2023],What are the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in million mt CO2e?,rank,305,"0.2, 0.02"
