Unnamed: 0,pdf name,page nbr,table nbr,answer_value,answer_company,unit,years,question,question_type_ext,gri,value
4,"['OTC_SU_2023', 'munich-re_2023']","['310', '47']","['1', '1']",2890217,[],MWh,"[2023, 2022]",What is the total energy consumption generated by the following companies in the last 2 years in MWh?,sum,302,2890217
7,"['NASDAQ_DASTY_2023', 'OTC_RWNEF_2023']","['141', '79']","['0', '0']",0.05,[],million mt CO2e,[2022],What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,mean,305,0.05
19,"['NASDAQ_DASTY_2023', 'OTC_BAYZF_2023']","['141', '63']","['0', '0']",1.11,[],Million metric tons of CO2 equivalents,[2023],What is the sum of GHG emissions Scope 2 in 2023 among the following companies in Million metric tons of CO2 equivalents?,sum,305,1.11
22,"['NYSE_AZ_2023', 'vivendi_2023']","['60', '105']","['0', '0']",11075.0,[],TCO2eq,[2023],What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,mean,305,11075.0
25,"['OTC_RWNEF_2023', 'munich-re_2023']","['79', '46']","['0', '0']",0.12,[],million mt CO2e,[2022],What is the sum of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,sum,305,0.12
27,"['heidelberg-materials_2023', 'prosiebensat1-media_2023']","['374', '64']","['0', '0']",169227.34,[],,"[2023, 2022]",What is the average energy consumption from 2023 to 2022 among the following companies?,mean,302,169227.34
28,"['NYSE_TTE_2023', 'OTC_BAMGF_2023']","['387', '311']","['3', '0']",1747286,[],,"[2023, 2022]",What is the total amount of waste generated from 2022 to 2023 among the following companies?,sum,306,1747286
32,"['NYSE_AZ_2023', 'axa_2023']","['60', '179']","['0', '0']",154651.0,[],tCO2e,[2023],What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in tCO2e?,sum,305,154651.0
41,"['OTC_DPSGY_2023', 'prosiebensat1-media_2023']","['3', '64']","['0', '0']",69615.35,[],million kWh,"[2023, 2022]",What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,sum,302,69615.35
42,"['NASDAQ_DASTY_2023', 'OTC_RWNEF_2023']","['141', '79']","['0', '0']",0.1,[],million mt CO2e,[2023],What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,mean,305,0.1
46,"['OTC_ESOCF_2023', 'vivendi_2023']","['137', '105']","['0', '0']",28632509.0,[],TCO2eq,[2023],What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in TCO2eq?,mean,305,28632509.0
53,"['OTC_RWNEF_2023', 'vivendi_2023']","['79', '105']","['0', '0']",222042.0,[],TCO2eq,[2023],What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,sum,305,222042.0
54,"['OTC_ADDDF_2023', 'OTC_RWNEF_2023']","['84', '79']","['0', '0']",121146.5,[],tons CO2e,[2022],What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tons CO2e?,mean,305,121146.5
55,"['OTC_RWNEF_2023', 'munich-re_2023']","['79', '46']","['0', '0']",13.47,[],million mt CO2e,[2022],What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in million mt CO2e?,mean,305,13.47
60,"['OTC_BAYZF_2023', 'OTC_ESOCF_2023']","['63', '137']","['0', '0']",32.86,[],MtCO2eq,[2023],What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in MtCO2eq?,mean,305,32.86
72,"['OTC_BAYZF_2023', 'munich-re_2023']","['63', '46']","['0', '0']",569155.0,[],tCO2e,[2022],What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tCO2e?,mean,305,569155.0
73,"['NASDAQ_DASTY_2023', 'OTC_DPSGY_2023']","['117', '3']","['0', '0']",55883.25,[],,"[2023, 2022]",What is the average energy consumption from 2023 to 2022 among the following companies?,mean,302,55883.25
75,"['OTC_ADDDF_2023', 'munich-re_2023']","['84', '46']","['0', '0']",20138555.0,[],tCO2e,"[2023, 2022]",What is the sum of total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2e?,sum,305,20138555.0
78,"['NYSE_AZ_2023', 'OTC_ADDDF_2023']","['60', '84']","['0', '0']",86391.5,[],tons CO2e,[2022],What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,mean,305,86391.5
