,GRI,GRI finegrained,Operation,Question,Value,PDF name,Page numbers,Table numbers,Row numbers
0,301,301-1.1,rel_superlative,,,"['terna_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf']","[[294], [358, 356]]","[[0], [0, 0]]","[['2'], ['12', '8']]"
1,301,301-2.1,rel_ranking,,,"['OTC_SU_2023.pdf', 'OTC_MBGAF_2023.pdf', 'OTC_ADDDF_2023.pdf', 'OTC_ADDDF_2023.pdf', 'OTC_CRERF_2023.pdf']","[[308], [109], [90, 110], [71]]","[[1], [0], [0, 0], [0]]","[['2'], ['2'], ['3', '4'], ['2']]"
2,301,301-3.1,quant_sum,,,"['OTC_SU_2023.pdf', 'heidelberg-materials_2023.pdf']","[[308], [358]]","[[1], [0]]","[['3'], ['10']]"
3,302,302-1.1,quant_avg,,,"['OTC_SU_2023.pdf', 'OTC_SU_2023.pdf', 'OTC_DPSGY_2023.pdf', 'NYSE_AZ_2023.pdf', 'heidelberg-materials_2023.pdf', 'brenntag_2023.pdf', 'munich-re_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_BAMGF_2023.pdf']","[[311, 310], [68], [61], [356], [110], [47], [308, 325, 326]]","[[0, 1], [0], [2], [0], [0], [1], [0, 0, 0]]","[['9', '19'], ['3'], ['3'], ['28'], ['7'], ['10'], ['18', '3', '6']]"
4,302,"302-1.1, 302-1.6",multistep,,,"['OTC_DPSGY_2023.pdf', 'vivendi_2023.pdf']","[[68], [141]]","[[0], [0]]","[['4'], ['11']]"
5,302,302-1.10,multistep,,,"['OTC_SU_2023.pdf', 'OTC_SU_2023.pdf', 'NYSE_TTE_2023.pdf', 'brenntag_2023.pdf', 'vivendi_2023.pdf', 'OTC_BAMGF_2023.pdf']","[[311, 310], [619], [110], [141], [308]]","[[0, 1], [2], [0], [0], [0]]","[['10', '20'], ['5'], ['6'], ['6'], ['13']]"
6,302,302-1.12,multistep,,,"['OTC_SU_2023.pdf', 'NYSE_AZ_2023.pdf', 'brenntag_2023.pdf']","[[311], [61], [110]]","[[0], [3], [0]]","[['6'], ['2'], ['4']]"
7,302,302-1.15,multistep,,,"['brenntag_2023.pdf', 'OTC_BAMGF_2023.pdf']","[[110], [308]]","[[0], [0]]","[['9'], ['15']]"
8,302,302-1.16,rel_superlative,,,"['munich-re_2023.pdf', 'OTC_BAMGF_2023.pdf']","[[47], [308]]","[[1], [0]]","[['9'], ['12']]"
9,302,302-1.2,rel_ranking,,,"['OTC_SU_2023.pdf', 'OTC_SU_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'NYSE_AZ_2023.pdf', 'brenntag_2023.pdf', 'munich-re_2023.pdf', 'OTC_SAPMY_2023.pdf', 'vivendi_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_CRERF_2023.pdf']","[[311, 310], [117], [61], [110], [47], [145], [141], [308, 325, 326], [86, 87]]","[[0, 1], [0], [2], [0], [1], [0], [0], [0, 0, 0], [0, 0]]","[['3', '15'], ['7'], ['2'], ['2'], ['6'], ['5'], ['5'], ['10', '4', '2'], ['11', '16']]"
