Unnamed: 0,pdf name,page nbr,table nbr,answer_value,answer_company,unit,years,question,question_type_ext,gri,value
0,"['NYSE_TTE_2023', 'OTC_DPSGY_2023', 'deutsche-telekom-ag_2023', 'heidelberg-materials_2023', 'munich-re_2023']","['381', '3', '46', '374', '47']","['0', '0', '0', '0', '1']",250.92,['munich-re'],million kWh,"[2023, 2022]",Which company has the lowest energy consumption over the last 2 years among the following companies in million kWh?,sup,302,munich-re
2,"['NYSE_AZ_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'OTC_ESOCF_2023', 'axa_2023']","['60', '84', '63', '137', '179']","['0', '0', '0', '0', '0']",[5100000. 1120000.  142293.   37172.   30490.],"['OTC_ESOCF', 'OTC_BAYZF', 'OTC_ADDDF', 'axa', 'NYSE_AZ']",tCO2eq,[2022],Which companies have the 5 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2eq?,rank,305,"OTC_ESOCF, OTC_BAYZF, OTC_ADDDF, axa, NYSE_AZ"
3,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'OTC_RWNEF_2023', 'munich-re_2023']","['141', '84', '63', '79', '46']","['0', '0', '0', '0', '0']",[1.11 0.2  0.14 0.01],"['OTC_BAYZF', 'OTC_RWNEF', 'OTC_ADDDF', 'munich-re']",Million metric tons of CO2 equivalents,[2023],What are the 4 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"1.11, 0.2, 0.14, 0.01"
4,"['OTC_BAMGF_2023', 'OTC_BAYZF_2023', 'OTC_CRERF_2023', 'OTC_ESOCF_2023', 'munich-re_2023']","['310', '132', '72', '139', '47']","['0', '0', '0', '0', '0']",[  432730.  5049144.  6780000.  8200000. 35400000.],"['munich-re', 'OTC_BAMGF', 'OTC_BAYZF', 'OTC_CRERF', 'OTC_ESOCF']",m3,[2023],What are the top 5 lowest water consumption values (in ascending order) for the year 2023 among the following companies in m3?,rank,303,"432730.0, 5049144.0, 6780000.0, 8200000.0, 35400000.0"
6,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'OTC_ESOCF_2023', 'OTC_RWNEF_2023', 'munich-re_2023']","['141', '84', '137', '79', '46']","['0', '0', '0', '0', '0']",[6.190e+01 3.451e+01 3.000e-02 2.000e-02],"['OTC_RWNEF', 'OTC_ESOCF', 'munich-re', 'OTC_ADDDF']",MtCO2eq,[2023],What are the 4 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in MtCO2eq?,rank,305,"61.9, 34.51, 0.03, 0.02"
7,"['NYSE_AZ_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'OTC_ESOCF_2023', 'axa_2023']","['60', '84', '63', '137', '179']","['0', '0', '0', '0', '0']",5100000.0,['OTC_ESOCF'],tCO2e,[2022],Which company has the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in tCO2e?,sup,305,OTC_ESOCF
9,"['NYSE_AZ_2023', 'OTC_BAYZF_2023', 'OTC_ESOCF_2023', 'OTC_RWNEF_2023', 'vivendi_2023']","['60', '63', '137', '79', '105']","['0', '0', '0', '0', '0']",[71040000. 23800000.],"['OTC_ESOCF', 'OTC_RWNEF']",tCO2e,[2022],What are the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,rank,305,"71040000.0, 23800000.0"
10,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023', 'OTC_ADDDF_2023', 'OTC_ESOCF_2023', 'munich-re_2023']","['141', '60', '84', '137', '46']","['0', '0', '0', '0', '0']",53.07,['OTC_ESOCF'],MtCO2eq,"[2023, 2022]",What is the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in MtCO2eq?,sup,305,53.07
11,"['NYSE_TTE_2023', 'OTC_DPSGY_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'prosiebensat1-media_2023']","['381', '3', '310', '374', '64']","['0', '0', '1', '0', '0']",0.03,['prosiebensat1-media'],TWh,"[2023, 2022]",What is the lowest energy consumption over the last 2 years among the following companies in TWh?,sup,302,0.03
12,"['OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'OTC_RWNEF_2023', 'munich-re_2023', 'vivendi_2023']","['84', '63', '79', '46', '105']","['0', '0', '0', '0', '0']",[ 770748. 3130824. 7635784. 9720000.],"['vivendi', 'munich-re', 'OTC_ADDDF', 'OTC_BAYZF']",tons CO2e,[2022],What are the 4 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tons CO2e?,rank,305,"770748.0, 3130824.0, 7635784.0, 9720000.0"
