,companies,answer_value,answer_company,unit,years,question,operation,GRI,out
0,"['OTC_SU_2023_309_0', 'vivendi_2023_140_0']",[  8430 123311],['vivendi' 'OTC_SU'],tons,[2022],What are the 2 lowest amounts of non-hazardous waste produced in 2022 (sorted in ascending order) among the following companies in tons?,rank,306,"8430, 123311"
1,"['NYSE_TTE_2023_381_0', 'heidelberg-materials_2023_374_0']",91.6,heidelberg-materials,TWh,"[2023, 2022, 2021]",Which company has the lowest energy consumption over the last 3 years among the following companies in TWh?,sup,302,heidelberg-materials
2,"['NASDAQ_DASTY_2023_141_0', 'OTC_BAYZF_2023_63_0']",1910000.0,OTC_BAYZF,tCO2-eq,"[2023, 2022]",What is the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2-eq?,sup,305,1910000.0
3,"['NASDAQ_DASTY_2023_141_0', 'NYSE_AZ_2023_60_0']",31774.0,NYSE_AZ,tCO2-eq,"[2023, 2022]",Which company has the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2-eq?,sup,305,NYSE_AZ
4,"['OTC_SU_2023_310_1', 'munich-re_2023_47_1']",2890217,,MWh,"[2023, 2022]",What is the total energy consumption generated by the following companies in the last 2 years in MWh?,sum,302,2890217
5,"['NASDAQ_DASTY_2023_141_0', 'OTC_RWNEF_2023_79_0']",[6.190e+07 4.178e+03],['OTC_RWNEF' 'NASDAQ_DASTY'],tCO2-eq,[2023],What are the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in tCO2-eq?,rank,305,"61900000.0, 4178.0"
6,"['NYSE_AZ_2023_60_0', 'OTC_RWNEF_2023_79_0']",100000.0,OTC_RWNEF,tCO2e,"[2023, 2022]",What is the lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in tCO2e?,sup,305,100000.0
7,"['NASDAQ_DASTY_2023_141_0', 'OTC_RWNEF_2023_79_0']",0.05,,million mt CO2e,[2022],What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,mean,305,0.05
8,"['NYSE_AZ_2023_60_0', 'OTC_BAYZF_2023_63_0']",[  92467. 9720000.],['NYSE_AZ' 'OTC_BAYZF'],tCO2e,[2022],Which companies have the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tCO2e?,rank,305,"NYSE_AZ, OTC_BAYZF"
9,"['OTC_DPSGY_2023_3_0', 'OTC_SU_2023_310_1']",[35056.    1124.33],['OTC_DPSGY' 'OTC_SU'],million kWh,[2023],What are the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in million kWh?,rank,302,"35056.0, 1124.33"
10,"['NYSE_AZ_2023_60_0', 'axa_2023_179_0']",[21598. 31774.],['axa' 'NYSE_AZ'],tCO2eq,[2023],What are the 2 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2eq?,rank,305,"21598.0, 31774.0"
11,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0']",[0.14 1.12],['OTC_ADDDF' 'OTC_BAYZF'],Million metric tons of CO2 equivalents,[2022],What are the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"0.14, 1.12"
12,"['OTC_BAMGF_2023_310_0', 'OTC_CRERF_2023_72_0']",12200000.0,OTC_CRERF,m3,"[2023, 2022]",Which company has the highest water consumption in the years 2023 and 2022 for the following companies in m3?,sup,303,OTC_CRERF
13,"['OTC_BAMGF_2023_310_0', 'OTC_BAYZF_2023_132_0']",[5.05 6.78],['OTC_BAMGF' 'OTC_BAYZF'],million cubic meters,[2023],Which companies have the top 2 lowest water consumption values (in ascending order) for the year 2023 among the following companies in million cubic meters?,rank,303,"OTC_BAMGF, OTC_BAYZF"
14,"['NYSE_TTE_2023_387_3', 'OTC_SU_2023_309_0']",[322.   123.31],['NYSE_TTE' 'OTC_SU'],kt,[2022],What are the 2 highest amounts of non-hazardous waste produced in 2022 (sorted in descending order) among the following companies in kt?,rank,306,"322.0, 123.31"
15,"['OTC_SU_2023_309_0', 'vivendi_2023_140_0']",[  8430 123311],['vivendi' 'OTC_SU'],tons,[2022],Which companies have the 2 lowest amounts of non-hazardous waste produced in 2022 (sorted in ascending order) among the following companies in tons?,rank,306,"vivendi, OTC_SU"
16,"['NASDAQ_DASTY_2023_117_0', 'OTC_SU_2023_310_1']",1201276,OTC_SU,MWh,"[2023, 2022]",Which company has the highest energy consumed in the last 2 years among the following companies in MWh?,sup,302,OTC_SU
17,"['NYSE_AZ_2023_60_0', 'vivendi_2023_105_0']",[19496. 30490.],['vivendi' 'NYSE_AZ'],tCO2e,[2022],What are the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tCO2e?,rank,305,"19496.0, 30490.0"
18,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0']",[0.14 1.12],['OTC_ADDDF' 'OTC_BAYZF'],Million metric tons of CO2 equivalents,[2022],Which companies have the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"OTC_ADDDF, OTC_BAYZF"
19,"['NASDAQ_DASTY_2023_141_0', 'OTC_BAYZF_2023_63_0']",1.11,,Million metric tons of CO2 equivalents,[2023],What is the sum of GHG emissions Scope 2 in 2023 among the following companies in Million metric tons of CO2 equivalents?,sum,305,1.11
20,"['NASDAQ_DASTY_2023_141_0', 'OTC_ADDDF_2023_84_0']",[ 4178. 21779.],['NASDAQ_DASTY' 'OTC_ADDDF'],tCO2-eq,[2023],What are the 2 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2-eq?,rank,305,"4178.0, 21779.0"
21,"['OTC_RWNEF_2023_79_0', 'vivendi_2023_105_0']",[0.2  0.02],['OTC_RWNEF' 'vivendi'],million mt CO2e,[2023],What are the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in million mt CO2e?,rank,305,"0.2, 0.02"
22,"['NYSE_AZ_2023_60_0', 'vivendi_2023_105_0']",11075.0,,TCO2eq,[2023],What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,mean,305,11075.0
23,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0']",9.18,OTC_BAYZF,Million metric tons of CO2 equivalents,[2023],Which company has the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in Million metric tons of CO2 equivalents?,sup,305,OTC_BAYZF
24,"['NYSE_AZ_2023_60_0', 'axa_2023_179_0']",[21598. 31774.],['axa' 'NYSE_AZ'],tCO2eq,[2023],Which companies have the 2 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2eq?,rank,305,"axa, NYSE_AZ"
25,"['OTC_RWNEF_2023_79_0', 'munich-re_2023_46_0']",0.12,,million mt CO2e,[2022],What is the sum of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,sum,305,0.12
26,"['OTC_ESOCF_2023_137_0', 'vivendi_2023_105_0']",[  22042. 3280000.],['vivendi' 'OTC_ESOCF'],TCO2eq,[2023],Which companies have the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in TCO2eq?,rank,305,"vivendi, OTC_ESOCF"
27,"['heidelberg-materials_2023_374_0', 'prosiebensat1-media_2023_64_0']",169227.34,,,"[2023, 2022]",What is the average energy consumption from 2023 to 2022 among the following companies?,mean,302,169227.34
28,"['NYSE_TTE_2023_387_3', 'OTC_BAMGF_2023_311_0']",1747286,,,"[2023, 2022]",What is the total amount of waste generated from 2022 to 2023 among the following companies?,sum,306,1747286
29,"['NYSE_AZ_2023_60_0', 'OTC_RWNEF_2023_79_0']",[ 0.09 23.8 ],['NYSE_AZ' 'OTC_RWNEF'],million mt CO2e,[2022],What are the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in million mt CO2e?,rank,305,"0.09, 23.8"
30,"['NYSE_AZ_2023_60_0', 'axa_2023_179_0']",[112228.  42423.],['NYSE_AZ' 'axa'],tCO2e,[2023],What are the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,rank,305,"112228.0, 42423.0"
31,"['munich-re_2023_47_1', 'prosiebensat1-media_2023_64_0']",313698.0,munich-re,MWh,"[2023, 2022]",Which company has the highest energy consumed in the last 2 years among the following companies in MWh?,sup,302,munich-re
32,"['NYSE_AZ_2023_60_0', 'axa_2023_179_0']",154651.0,,tCO2e,[2023],What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in tCO2e?,sum,305,154651.0
33,"['NASDAQ_DASTY_2023_141_0', 'munich-re_2023_46_0']",3192798.0,munich-re,tCO2e,[2022],What is the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in tCO2e?,sup,305,3192798.0
34,"['NYSE_AZ_2023_60_0', 'OTC_RWNEF_2023_79_0']",100000.0,OTC_RWNEF,tCO2e,"[2023, 2022]",Which company has the lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in tCO2e?,sup,305,OTC_RWNEF
35,"['NYSE_AZ_2023_60_0', 'OTC_ESOCF_2023_137_0']",[3280000.  112228.],['OTC_ESOCF' 'NYSE_AZ'],tCO2e,[2023],Which companies have the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,rank,305,"OTC_ESOCF, NYSE_AZ"
36,"['OTC_SU_2023_310_1', 'munich-re_2023_47_1']",[1124327  250916],['OTC_SU' 'munich-re'],MWh,[2023],Which companies have the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in MWh?,rank,302,"OTC_SU, munich-re"
37,"['OTC_DPSGY_2023_3_0', 'OTC_SU_2023_310_1']",1201276,OTC_SU,,"[2023, 2022]",What is the largest energy consumption from 2022 to 2023 among the following companies?,sup,302,1201276
38,"['NASDAQ_DASTY_2023_141_0', 'OTC_BAYZF_2023_63_0']",[   3193. 1110000.],['NASDAQ_DASTY' 'OTC_BAYZF'],tCO2-eq,[2023],What are the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2-eq?,rank,305,"3193.0, 1110000.0"
39,"['OTC_RWNEF_2023_79_0', 'vivendi_2023_105_0']",[0.02 0.2 ],['vivendi' 'OTC_RWNEF'],million mt CO2e,[2023],Which companies have the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in million mt CO2e?,rank,305,"vivendi, OTC_RWNEF"
40,"['deutsche-telekom-ag_2023_46_0', 'prosiebensat1-media_2023_64_0']",[   33.09 12241.  ],['prosiebensat1-media' 'deutsche-telekom-ag'],GWh,[2023],What are the top 2 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in GWh?,rank,302,"33.09, 12241.0"
41,"['OTC_DPSGY_2023_3_0', 'prosiebensat1-media_2023_64_0']",69615.35,,million kWh,"[2023, 2022]",What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,sum,302,69615.35
42,"['NASDAQ_DASTY_2023_141_0', 'OTC_RWNEF_2023_79_0']",0.1,,million mt CO2e,[2023],What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,mean,305,0.1
43,"['NYSE_AZ_2023_60_0', 'OTC_ADDDF_2023_84_0']",[7635784.   92467.],['OTC_ADDDF' 'NYSE_AZ'],tons CO2e,[2022],Which companies have the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tons CO2e?,rank,305,"OTC_ADDDF, NYSE_AZ"
44,"['OTC_BAMGF_2023_310_0', 'OTC_ESOCF_2023_139_0']",45200000.0,OTC_ESOCF,m3,"[2023, 2022]",Which company has the highest water consumption in the years 2023 and 2022 for the following companies in m3?,sup,303,OTC_ESOCF
45,"['NASDAQ_DASTY_2023_141_0', 'OTC_RWNEF_2023_79_0']",[  3193. 200000.],['NASDAQ_DASTY' 'OTC_RWNEF'],tCO2-eq,[2023],Which companies have the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2-eq?,rank,305,"NASDAQ_DASTY, OTC_RWNEF"
46,"['OTC_ESOCF_2023_137_0', 'vivendi_2023_105_0']",28632509.0,,TCO2eq,[2023],What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in TCO2eq?,mean,305,28632509.0
47,"['OTC_DPSGY_2023_3_0', 'deutsche-telekom-ag_2023_46_0']",35056,OTC_DPSGY,GWh,"[2023, 2022, 2021, 2020]",Which company has the highest energy consumed in the last 4 years among the following companies in GWh?,sup,302,OTC_DPSGY
48,"['NYSE_TTE_2023_387_3', 'vivendi_2023_140_0']",[  8430. 322000.],['vivendi' 'NYSE_TTE'],tons,[2022],What are the 2 lowest amounts of non-hazardous waste produced in 2022 (sorted in ascending order) among the following companies in tons?,rank,306,"8430.0, 322000.0"
49,"['NYSE_AZ_2023_60_0', 'vivendi_2023_105_0']",[10291. 31774.],['vivendi' 'NYSE_AZ'],tCO2e,[2023],What are the 2 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,rank,305,"10291.0, 31774.0"
50,"['OTC_RWNEF_2023_79_0', 'axa_2023_179_0']",[ 42423. 200000.],['axa' 'OTC_RWNEF'],tCO2eq,[2023],What are the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2eq?,rank,305,"42423.0, 200000.0"
51,"['OTC_ADDDF_2023_84_0', 'munich-re_2023_46_0']",[7635784. 3130824.],['OTC_ADDDF' 'munich-re'],tons CO2e,[2022],What are the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tons CO2e?,rank,305,"7635784.0, 3130824.0"
52,"['NYSE_AZ_2023_60_0', 'vivendi_2023_105_0']",[30490. 19496.],['NYSE_AZ' 'vivendi'],tCO2e,[2022],What are the 2 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,rank,305,"30490.0, 19496.0"
53,"['OTC_RWNEF_2023_79_0', 'vivendi_2023_105_0']",222042.0,,TCO2eq,[2023],What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,sum,305,222042.0
54,"['OTC_ADDDF_2023_84_0', 'OTC_RWNEF_2023_79_0']",121146.5,,tons CO2e,[2022],What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tons CO2e?,mean,305,121146.5
55,"['OTC_RWNEF_2023_79_0', 'munich-re_2023_46_0']",13.47,,million mt CO2e,[2022],What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in million mt CO2e?,mean,305,13.47
56,"['OTC_BAYZF_2023_132_0', 'OTC_ESOCF_2023_139_0']",[35.4   6.78],['OTC_ESOCF' 'OTC_BAYZF'],millions of m3,[2023],What are the top 2 highest water consumption values (in descending order) for the year 2023 among the following companies in millions of m3?,rank,303,"35.4, 6.78"
57,"['NASDAQ_DASTY_2023_141_0', 'OTC_BAYZF_2023_63_0']",[   3193. 1110000.],['NASDAQ_DASTY' 'OTC_BAYZF'],tCO2-eq,[2023],Which companies have the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2-eq?,rank,305,"NASDAQ_DASTY, OTC_BAYZF"
58,"['NASDAQ_DASTY_2023_141_0', 'OTC_RWNEF_2023_79_0']",[  3193. 200000.],['NASDAQ_DASTY' 'OTC_RWNEF'],tCO2-eq,[2023],What are the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2-eq?,rank,305,"3193.0, 200000.0"
59,"['OTC_ADDDF_2023_84_0', 'munich-re_2023_46_0']",5894811.0,OTC_ADDDF,tons CO2e,[2023],Which company has the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tons CO2e?,sup,305,OTC_ADDDF
60,"['OTC_BAYZF_2023_63_0', 'OTC_ESOCF_2023_137_0']",32.86,,MtCO2eq,[2023],What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in MtCO2eq?,mean,305,32.86
61,"['axa_2023_179_0', 'vivendi_2023_105_0']",[19496. 37172.],['vivendi' 'axa'],TCO2eq,[2022],Which companies have the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in TCO2eq?,rank,305,"vivendi, axa"
62,"['OTC_ADDDF_2023_84_0', 'OTC_ESOCF_2023_137_0']",4510000.0,OTC_ESOCF,tons CO2e,[2023],What is the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in tons CO2e?,sup,305,4510000.0
63,"['NYSE_AZ_2023_60_0', 'axa_2023_179_0']",[112228.  42423.],['NYSE_AZ' 'axa'],tCO2e,[2023],Which companies have the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,rank,305,"NYSE_AZ, axa"
