index,question,value,response
0,What is the value of the lowest percentage ratio from 2022 to 2021 between operated and not operated intensity GHG emissions?,100, 84.62
1,"What is the value of the lowest sum in the years 2021, 2022, 2023 between SO2, Nox and NMVOC emissions?",41, 115.00
2,"Between purchased goods and downstream transportation, what are the top 2 highest sums (in ascending order) in the years 2022, 2023?","2.0, 57.0"," 28.00, 31.00"
3,"What are the top 2 highest sums (in descending order) in the years 2022, 2023 between upstream and downstream transportation?","17.0, 2.0"," 10.00, 9.00"
4,"Between the processed waste and not hazardous waste, what is the value of the highest sum in the years 2020, 2023, 2021, 2022, 2019?",2682, 1037.00
5,"Between biofuels and gas emissions, what is the average of the sums in the years 2023 to 2022?",131, 131.00
6,"Between not hazardous and hazardous waste, what is the average of the percentage ratios from 2023 to 2020?",103.65," 61.00, 39.00"
7,What is the value of the highest percentage ratio from 2021 to 2020 between fresh water withdrawal exclusing cooling water and in water stress areas?,103.85, 3.85
8,"What is the value of the lowest sum in the years 2023, 2019 between Nox and NMVOC emissions?",126, 103.00
9,"Between different sources of energy consumption, what are the top 6 highest sums (in descending order) in the years 2022, 2023?","199398.0, 150463.0, 54253.0, 5319.0, 1868.0, 0.0"," 199398.00, 150463.00, 54253.00, 5320.00, 1868.00, 0.00"
10,"Which are the top 3 lowest averages (in ascending order) in the years 2023, 2022, 2021, 2020 between grid electricity, purchased renewable electricity and self generated renewable electricity?","18059.5, 118148.25, 599428.0"," 18085.50, 103398.25, 599703.00"
11,What is the value of the lowest percentage ratio from 2020 to 2021 between surface and groundwater withdrawal?,88.12, 0.91
12,"Between the total water withdrawn and the water withdrawn for cooling, what is the value of the lowest percentage ratio from 2020 to 2023?",95.92, 32.41
13,What are the top 2 lowest percentage ratios (in descending order) from the year 2021 to 2020 between the total water withdrawn and the water withdrawn for cooling?,"112.74, 107.48"," 42.41, 40.49"
14,What is the value of the lowest percentage ratio from 2021 to 2020 between scope 1 and scope 2 emissions?,98.83, 0.62
15,"Between scope 2 and scope 3 emissions, what is the average of the sums in the years 2020 and 2023?",61391666, 61176766.00
16,"What is the value of the highest sum in the years 2020, 2021, 2022 between scope 1 and scope 3 emissions?",195296755, 68878103.00
17,"Between total scope 2 emissions and emissionsfrom grid electricity, what is the value of the highest sum in the years 2021, 2023, 2020, 2022?",497492, 219807.00
18,"Which are the top 2 highest percentage ratios (in ascending order) from the year 2022 to 2020 between scope 1, 2 and 3 emissions?","83.89, 92.42"," scope 3: -7.57%, scope 1: -16.09%"
19,"Between the energy consumption from renewable and non renewable sources, which are the top 2 lowest percentage ratios (in descending order) from the year 2023 to 2022?","102.7, 81.38"," 42.70%, 37.10%"
20,"Between different sources of energy consumption, what are the top 7 highest percentage ratios (in descending order) from the year 2020 to 2023?","194.77, 187.31, 180.37, 132.24, 95.89, 53.74, 53.43"," 157.30%, 129.30%, 96.00%, 95.00%, 62.90%, 57.30%, 50.60%"
21,"What is the value of the lowest average in the years 2022, 2020 between purchased and self generated renewable electricity?",16591.5, 298979.50
22,"Between surface and groundwater withdrawal, which are the top 2 lowest percentage ratios (in descending order) from the year 2021 to 2022?","131.98, 104.33"," 0.76%, 0.92%"
23,"Between total and surface water withdrawal, what is the value of the lowest percentage ratio from 2020 to 2022?",100.34, 0.75
24,"Between total water withdrawn and water withdrawn for cooling, what is the sum of the averages in the years 2021, 2020?",2830049, 2820049.00
25,"What is the value of the highest sum in the years 2023, 2021, 2022, 2020 between market based total scope 1 and 2 emissions and scope 2 emissions?",1012836, 446947.00
26,"Which are the top 2 highest sums (in descending order) in the years 2023, 2021, 2022, 2020 between scope 1 emissions and gas emissions?","515345.0, 195212.0"," 197494.00, 194585.00"
27,What is the average of the sums in the years 2021 to 2020 between fuel and gas emissions?,58972, 57972.00
28,"Between vehicle and SF6 emissions, what is the average of the percentage ratios from 2020 to 2022?",144.96, 50.01
29,"Between grid and renewable electricity emissions, what is the sum of the averages in the years 2021, 2022, 2023, 2020?",57021.25, 58046.75
30,Which are the top 2 lowest percentage ratios (in descending order) from the year 2020 to 2023 between scope 2 and 3 emissions?,"162.35, 115.84"," 0.18%, 0.16%"
31,What is the average of the sums in the years 2023 to 2022 between non hazardous waste and non hazardous recycled waste?,228518.5, 228518.50
32,"Between non hazardous and hazardous waste, what is the sum of the averages in the years 2021, 2022, 2023?",130785.67, 130785.67
33,"Between total waste and hazardous waste generated, what is the sum of the averages in the years 2021, 2020?",139171, 139171.00
34,"Between recycled, incinerated and landfilled waste, what is the value of the highest percentage ratio from 2022 to 2023?",122.5, 90.54
35,"Between total and non hazardous waste, what is the value of the highest percentage ratio from 2020 to 2023?",100.93, 93.87
36,"What is the value of the lowest average in the years 2023, 2021 between reused and incinerated non hazardous waste?",6917.5, 56132.00
37,"Between reused, incinerated and landfilled non hazardous waste, what is the value of the highest percentage ratio from 2021 to 2023?",140.25, 90.54%
38,"Which are the top 2 highest averages (in ascending order) in the years 2023, 2021, 2022 between recycled polyester and sustainable cotton?","95.33, 100.0"," 95.33, 100.00"
39,"What is the value of the lowest sum in the years 2023, 2021, 2022 between recycled polyester and sustainable cotton?",286, 191.
40,"Between the energy consumption from cement and clinker production, what is the value of the highest sum in the years 2023, 1990?",769531, 836833.00
41,"Between direct and indirect group consumption of energy, what is the average of the percentage ratios from 2021 to 2023?",141.2," 96.25, 3.74"
42,What is the average of the percentage ratios from 2022 (full consolidated) to 2023 (group between direct and indirect consumption of energy?,106.35, nan
43,"Between direct and indirect fully consolidated consumption of energy, what is the average of the sums in the years 2022 to 2021?",15056, 15056.00
44,What is the average of the percentage ratios from 2023 to 2022 between direct and total fully consolidated consumption of energy?,87.91, 96.69
45,"Between direct and indirect consumption of energy, what is the sum of the averages in the years 2023 (full consolidated), 2022 (group)?",15902, 15892.00
46,"Between direct and indirect fully consolidated consumption of energy, what are the top 2 highest averages (in descending order) in the years 2021, 2022?","14683.0, 373.0"," 16041, 13325"
47,"Which are the top 2 lowest sums (in ascending order) in the years 2021, 2022, 2023 between direct and indirect group consumption of energy?","1765.0, 45170.0"," 14711.00, 14863.00"
48,"Between direct and indirect consumption of energy, what is the value of the highest sum in the years 2021 (full consolidated), 2021 (group), 2022 (group), 2023 (full consolidated)?",58253, 17361.00
49,"Between direct and indirect consumption of energy, what is the sum of the averages in the years 2023 (group), 2023 (fully consolidated), 2021 (fully consolidated), 2021 (group), 2022 (fully consolidated)?",14825.8, 74004.50
50,"Between indirect and direct fully consolidated consumption of energy, what is the value of the highest sum in the years 2022, 2021?",29366, 16421.00
51,"Between electricity consumed from the grid and electricity consumed from the grid, but produced by renewable sources, what is the average of the percentage ratios from 2021 (full consolidated) to 2021 (group total)?",68.28, 16.96
52,"Between location based and market based total emissions, which are the top 2 lowest percentage ratios (in ascending order) from the year 2021 (full consolidated) to 2022 (full consolidated)?","64.68, 66.03"," 100.01, 100.05"
53,"Which are the top 2 highest sums (in descending order) in the years 2022 (group), 2021 (full consolidated), 2021 (group), 2022 (full consolidated between location based and market based total emissions?","13090.1, 13048.5"," 4385.60, 4383.30"
54,What is the value of the highest percentage ratio from 2022 (group) to 2022 (full consolidated between location based and market based total emissions?,120.4, 120.34
55,What is the average of the percentage ratios from 2021 to 2023 between location based and market based group total emissions?,41.31, 100.05
56,"What is the value of the lowest average in the years 2023, 2021 between operated and not operated intensity of GHG emissions?",17, 17.21
57,"Between fresh water consumption and fresh water withdrawal without cooling water, what are the top 2 lowest percentage ratios (in descending order) from the year 2020 to 2022?","98.68, 98.13"," 71.43, 71.03"
58,"What is the value of the lowest percentage ratio from 2020 to 2022 between Nox, SO2 and NMVOC emissions?",106.67, -61.76
59,"Between purchased goods and downstream transportation, what are the top 2 lowest averages (in descending order) in the years 2023, 2022?","28.5, 1.0"," 1.00, 28.50"
60,"Between upstream and downstream transportation, what is the average of the percentage ratios from 2023 to 2022?",94.44, -5.56
61,What is the value of the highest percentage ratio from 2021 to 2022 between the total waste and total non hazardous waste?,104.04, 67.00
62,"Between the scope 3 emissions from petroleum products and gas, what is the average of the percentage ratios from 2015 to 2019?",92.24, 10.36
63,"Between non hazardous and hazardous waste, what is the value of the highest average in the years 2019, 2023, 2020, 2021?",333, 333.00
64,"What is the sum of the averages in the years 2021, 2022, 2019 between Nox and NMVOC emissions?",126.67, 126.67
65,"Between grid electricity, purchased and self generated renewable electricity, what is the value of the lowest sum in the years 2020, 2023, 2022?",56377, 716398.00
66,"Between surface and groundwater withdrawal, what are the top 2 highest sums (in ascending order) in the years 2021, 2022, 2023?","51369.0, 1478138.0"," 506822.00, 532787.00"
67,"Between the total water withdrawn except for cooling and water withdrawn for cooling, what is the average of the percentage ratios from 2022 to 2020?",89.75, 27.70
