"Financial year 2023 Economic activities;Codes!;CapEx;Propor- tionof CapEx?;Climate Change Mitigation;Climate Change — Adap- tation;Water;Pollution;Circular Economy —;Climate Bio- Change diversity Mitigation;Climate Change — Adap- tation;Water;Pollution;Circular Economy;Bio- — diversity;Minimum safe- guards?;Proportion of Taxo- nomy- aligned (A.1) or -eli- gible(A.2) CapEx, 2022;Category enabling activity*;Category transitional activity
; ;me;% ;Y;N;N/EL;Y;N;N/EL;Y;N;N/EL;Y;N;N/EL;Y;N;N/EL;Y;N;N/EL;Y;N;N/EL;Y;N;N/EL;Y;N;N/EL;Y;N;N/EL;% ;E; 
A. Taxonomy-eligible activities; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Ad Environmentally sustainable activities (Taxonomy-aligned) Capex of environmentally; ; ;0;0;0; 
sustainable activities (Taxonomy-aligned) (A.1) Of which enabling*; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Of which transitional®; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
A.2 Taxonomy-eligible but not environmentally sustainable activities (not Taxonomy-aligned activities); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
; ; ; ;EL;N/EL;EL;N/EL;EL;N/EL;EL;N/EL;EL;N/EL;EL;N/EL; ; ; 
CapEx of Taxonomy-eligible but not environmentally sustainable activities (not Taxonomy-aligned activities) (A.2); ; ;0;0;2; 
A. CapEx of Taxonomy-eligible activities (A.1+A.2); ; ;0;0;2; 
B. Taxonomy-non-eligible activities; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Capex of Taxonomy= non-eligible activities; ;cy;537;100; ; ; ; ; ; ; ; ; ; ; ; ; ;"
