";Gross amounts;Gross amounts offset assets;Net liabilities amounts disclosed in statement of fin. pos.;Assets not offset in the statement of fin. pos.;Cash deposits received not offset in the statement of fin. pos.;Net amounts
2023;;;;;;
Trade payables;606,119;(34,297);571,822;0;0;571,822
Other financial liabilities;9,272;0;9,272;(40);0;9,232
Thereof derivates;727;0;727;(40);0;686
Total;615,391;(34,297);581,094;(40);0;581,054
2022;;;;;;
Trade payables;656,953;(39,843);617,110;0;0;617,110
Other financial liabilities;11,821;0;11,821;(95);0;11,726
Thereof derivates;1,866;0;1,866;(95);0;1,771
Total;670,640;(39,843);628,931;(95);0;628,836"
