"€ in millions;Current;Non-current;Current;Non-current
Receivables from finance leases*;29;223;33;233
Other financial receivables and financial assets;1,056;856;1,786;801
Financial receivables and other financial assets;1,085;1,079;1,819;1,034
Trade receivables;10,404;-;10,422;-
Receivables from derivative financial instruments;5,364;2,621;22,506;8,240
Contract assets;34;15;29;28
Other assets;120;303;142;161
Other operating assets;3,083;911;3,348;857
Trade receivables and other operating assets;19,005;3,850;36,447;9,286
Total;20,090;4,929;38,266;10,320"
