"GRI 305: Emissions (2016); 
305-1: Direct (Scope 1) GHG emissions; &gt; Climate Protection
; Our disclosures are based on CO₂ equivalents, which measure greenhouse gases in accordance with the Greenhouse Gas Protocol Community Accounting and Reporting Standard (""GHG Protocol"").
; In line with the Kyoto Protocol, the baseline year is 1990. Global warming potential is relative to a 100-year time horizon.
; Our GHG emissions disclosures encompass all subsidiaries and generation assets that are fully consolidated in E.ON's financial statements. Subsidiaries with fewer than ten employees do not need to be included if their activities do not have a material impact on the various Scope 1-3 categories.
305-2: Energy indirect (Scope 2) GHG emissions; &gt; Climate Protection
; Our disclosures are based on CO₂ equivalents, which include CH₄, N₂O, and CO₂ emissions.
; For baseline year and consolidation approach, see 305-1.
305-3: Other indirect (Scope 3) GHG emissions; &gt; Climate Protection
; We do not record emissions from the combustion or biodegradation of biomass that occur in our upstream value chain.
; Our disclosures are based on CO₂ equivalents, which include CH₄, N₂O, and CO₂ emissions.
; For baseline year and consolidation approach, see 305-1.
; 
GRI 400: Social; 
GRI 401: Employment (2016); 
401-1: New employee hires and employee turnover; &gt; Working Conditions and Employee Development &gt; ESG
; Figures
; Our disclosures on new employee hires and employee turnover include numbers for the entire Group. More detailed disclosures are not relevant."
