"ame; Location; Stake; Name; Location; Stake; Name; Location; Stake
00 Kilowatt Naperémii Alfa Korlatolt Felelésségti Tarsasag; HU; udapest?; 100.0; Abwasserentsorgung Albersdorf GmbH; DE; 49.0; AggerEnergie GmbH; DE; Gummersbach*; 62.7
00 Kilowatt Naperémii Béta Korlatolt Felelésségii Tarsasag; HU; udapest?; 100.0; Abwasserentsorgung Amt Achterwehr GmbH; DE; 49.0; AggerService GmbH; DE; Gummersbach?; 100.0
00 Kilowatt Naperémii Delta Korlatolt Felelésségii Tarsasag; HU; udapest?; 100.0; Abwasserentsorgung Bargteheide GmbH; DE; 27.0; Airco-Klima Service GmbH; DE; Garbsen?; 80.0
00 Kilowatt Naperémii Epszilon Korlatolt Felelésségti Tarsasag; HU; udapest?; 100.0; Abwasserentsorgung Bleckede GmbH; DE; 49.0; AIRCRAFT Klima-, Warme- Kalte-, Rohrleitungsbau-Gesellschaft mit beschrankter Haftung; DE; Wolfenbiittel?; 100.0
00 Kilowatt Naperémti Eta Korlatolt Felelésségii Tarsasag; HU; udapest?; 100.0; Abwasserentsorgung Brunsbiittel GmbH (ABG); DE; 49.0; AirSon Engineering AB; SE; Angelholm?; 100.0
00 Kilowatt Naperémti Gamma Korlatolt Felelésségii Tarsasag; HU; udapest?; 100.0; Abwasserentsorgung Friedrichskoog GmbH; DE; 49.0; Alfred Thiel-Gedachtnis-Unterstiitzungskasse GmbH; DE; Essen®; 50.0
00 Kilowatt Naperémii Kappa Korlatolt Felelésségti Tarsasag; HU; udapest?; 100.0; Abwasserentsorgung Kappeln GmbH; DE; Kappeln®; 25.0; Alsdorf Netz GmbH; DE; Alsdorf®; 50.1
50connect GmbH; DE; Cologne®; 25.0; Abwasserentsorgung Kropp GmbH; DE; Kropp®; 20.0; Altmarker Solarstrom GmbH; DE; Kusey?; 100.0
Motions GmbH; DE; Leipzig?; 100.0; Abwasserentsorgung Marne-Land GmbH; DE; Diekhusen-Fahrstedt®; 49.0; Amber Newco B.V.; NL; 's-Hertogenbosch*; 100.0
/V/E GmbH; DE; Halle (Saale)?; 76.1; Abwasserentsorgung Schladen GmbH; DE; Schladen®; 49.0; Anco Sp. z0.0.; PL; Jarocin?; 100.0
bens-Donau Netz GmbH &amp; Co. KG; DE; Mainburg®; 50.0; Abwasserentsorgung Schéppenstedt GmbH; DE; Schéppenstedt®; 49.0; Artelis S.A.; LU; Luxembourg?; 90.0
bens-Donau Netz Verwaltung GmbH; DE; Mainburg®; 50.0; Abwasserentsorgung Tellingstedt GmbH; DE; Tellingstedt®; 25.0; Aton Projects B.V.; NL; Schinnent; 100.0
bfallwirtschaft Dithmarschen GmbH; DE; Heide®; 49.0; Abwasserentsorgung Uetersen GmbH; DE; Uetersen®; 49.0; Aton Projects V.O.F.; NL; Sittard?; 90.0
bfallwirtschaft Rendsburg-Eckernférde GmbH; DE; Borgstedt®; 49.0; Abwassergesellschaft Bardowick mbH &amp; Co. KG; DE; Bardowick®; 49.0; AV Packaging GmbH; DE; Munich?; 0.0
bfallwirtschaft Schleswig - Flensburg GmbH; DE; Schleswig®; 49.0; Abwassergesellschaft Bardowick Bardowick®; Verwaltungs-GmbH; DE; 49.0; Avacon AG; DE; Helmstedt?; 61.4
bfallwirtschaft Siidholstein GmbH - AWSH -; DE; Elmenhorst®; 49.0; Abwassergesellschaft Gehrden mbH; DE; Gehrden®; 49.0; Avacon Beteiligungen GmbH; DE; Helmstedt*; 100.0
bwasser und Service Burg; Hochdonn GmbH; DE; Burg®; 39.0; Abwassergesellschaft Ilmenau mbH; DE; Melbeck®; 49.0; Avacon Connect 1. VG GmbH; DE; Helmstedt?; 100.0
bwasser und Service Mittelangeln GmbH; DE; Mittelangeln®; 33.3; Abwasserwirtschaft Kunstadt GmbH; DE; Burgkunstadt®; 30.0; Avacon Connect 2. VG GmbH; DE; Helmstedt?; 100.0
abwasserbeseitigung nortorf -land gmbh; de; nortorf; 49.0; ackermann &amp; knorr ingenieur gmbh; de; chemnitz; 100.0; avacon connect gmbh; de; laatzen; 100.0"
