"Row;Economic activities;€ in millions;in %;€ in millions;in %;€ in millions;in %
;Amount and proportion of taxonomy-eligible but not taxonomy-aligned economic activity referred to in Section 4.26 of Annexes | and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI;;;;;
;Amount and proportion of taxonomy-eligible but not taxonomy-aligned economic activity referred to in Section 4.27 of Annexes | and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI;;;;;
;Amount and proportion of taxonomy-eligible but not taxonomy-aligned economic activity referred to in Section 4.28 of Annexes | and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI;;;;;
;Amount and proportion of taxonomy-eligible but not taxonomy-aligned economic activity referred to in Section 4.29 of Annexes | and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI;;;;;
;Amount and proportion of taxonomy-eligible but not taxonomy-aligned economic activity referred to in Section 4.30 of Annexes | and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI;;;;;
;Amount and proportion of taxonomy-eligible but not taxonomy-aligned economic activity referred to in Section 4.31 of Annexes | and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI;;;;;
;Amount and proportion of other taxonomy-eligible but not taxonomy-aligned economic activities not referred to in rows 1 to 6 above in the denominator of the applicable KPI;;;;;
;Total amount and proportion of taxonomy-eligible but not taxonomy-aligned economic activities in the denominator of the applicable KPI;129;100;129;100;;;
;Amount and proportion of other taxonomy-non-eligible economic activities not referred to in rows 1 to 6 above in the denominator of the applicable KPI;2187;100;;; ;
;Total amount and proportion of taxonomy-non-eligible economic activities in the denominator of the applicable KPI;2187;100;;; ;"
