;DVFA/EFFAS;2023;2022;2021
Non-hazardous waste (metric kilotons);;496.1;381.3;428
Recovered;;467;364.1;410.1
Disposed;;29.1;17.3;17.9
Hazardous waste (metric kilotons);E06-01;205.4;162.2;141.3
Recovered;;170.7;107.5;106.7
Disposed;;34.7;54.7;34.5
Total waste (metric kilotons);E04-01;701.5;543.5;569.2
Total amount of waste recycled (percentages);E05-01;91;87;90.8
Low and intermediate-level radioactive waste (metric tons);E08-01/E08-02;1374.1;1105.7;1420.2
High-level radioactive waste (metric tons);E08-03;0;0;65
