index,question,value,response
0,Which company has the highest energy consumed in the last 2 years among the following companies in TJ?,heidelberg-materials,GRI
1,Which companies have the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in million mt CO2e?,"OTC_ESOCF, OTC_RWNEF","112228, 65470"
2,Which companies have the 2 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"OTC_BAYZF, OTC_ADDDF","59232.00, 37172.00"
3,What is the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2eq?,1910000.0,"4476.00, 4178.00, 21598.00, 21382.00, 33093.00"
4,Which companies have the 3 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tCO2e?,"NYSE_AZ, NASDAQ_DASTY, munich-re","179523.00, 168709.00, 123269.00"
5,Which companies have the top 4 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in GWh?,"NYSE_TTE, heidelberg-materials, OTC_DPSGY, deutsche-telekom-ag","250.92, 122.41, 157.00, 33.27"
6,Which company has the largest energy consumption from 2022 to 2023 among the following companies?,OTC_SU,1124327.00
7,Which companies have the 3 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"OTC_BAYZF, OTC_RWNEF, OTC_ADDDF","3193.00, 142.46, 1.12"
8,Which company has the lowest energy consumption over the last 2 years among the following companies in MWh?,NASDAQ_DASTY,12241.00
9,What is the highest energy consumed in the last 2 years among the following companies in GWh?,35056.0,82766.00
10,What are the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,"0.0, 0.01","0.20, 1.12"
11,What are the 5 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,"4178.0, 21598.0, 33093.0, 34510000.0, 61900000.0","61.00, 64.00, 108.41, 33093.00, 4178.00"
12,What is the highest energy consumed in the last 2 years among the following companies in million kWh?,166000.0,82.77
13,What is the lowest energy consumption over the last 2 years among the following companies in MWh?,71218.0,12241.00
14,Which companies have the 3 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2-eq?,"NASDAQ_DASTY, vivendi, NYSE_AZ","61.90, 0.20, 0.20"
15,What are the 4 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tons CO2e?,"770748.0, 3130824.0, 7635784.0, 9720000.0","537.00, 5128.00, 10752.00, 21856.00"
