index,question,value,response,correct
0,What was the total energy consumption within the organization in millions of GJ in 2023?,516.2,516.2,True
1,How much electricity was produced from renewable sources in Gwh in 2022?,2.836,4.242,False
2,How much electricity was sold to other companies in millions of GJ in 2023?,192.7,192.7,True
3,What was the percentage of energy intensity index for the organization in 2023?,123,123.0,True
4,What was the total energy consumption from renewable energy sources in millions of GJ in 2021?,1.5,1.3,False
5,What was the total energy consumption within the organization in millions of GJ in 2022?,503.2,516.2,False
6,How much heating was sold to other companies in millions of GJ in 2023?,5.2,171.4,False
7,How much electricity was produced from renewable sources in Gwh in 2021?,1.166,4.242,False
8,What was the total water withdrawal in 2023 (million m3)?,1224,1141.0,False
9,How much seawater was withdrawn in 2022 (million m3)?,1283,1089.0,False
10,What was the total freshwater withdrawal in 2021 in million m3?,117,90.0,False
11,What was the total water withdrawal from surface water bodies in 2023 in million m3?,97,124.0,False
12,How much water was withdrawn from underground sources in 2022 in million m3?,17,14.0,False
13,What was the total water discharge in 2023 (million m3)?,1118,1118.0,True
14,What was the total volume of freshwater discharge in areas with water stress in 2022 (million m3)?,18.8,54.1,False
15,What was the total water consumption in 2023 in million m3?,128,128.0,True
16,How much total water consumption was recorded in areas with water stress in 2021 (million m3)?,34.3,128.0,False
17,What was the total volume of fresh water discharge in areas with water stress in 2023 in million m3?,25.2,54.1,False
18,What is the total number of species listed on the IUCN Red List with habitats in areas affected by the organization's operations in 2023?,1,13.0,False
19,How many KBAs are there in areas affected by the organization's operations in 2023?,8,13.0,False
20,What is the total number of Natura 2000 sites in areas affected by the organization's operations in 2023?,11,68.0,False
21,What is the number of Other Protected Areas in areas affected by the organization's operations in 2023?,12,17.0,False
22,How many Ramsar sites are there in areas affected by the organization's operations in 2023?,2,2.0,True
23,What was the total amount of direct GHG emissions (Scope 1) in million tonnes of CO2 equivalent for the year 2023?,38.69,200.0,False
24,How many tonnes of CO2 equivalent were emitted indirectly from energy consumption (Scope 2) in 2023?,0.73,100.0,False
25,What was the amount of direct GHG emissions (Scope 1) in million tonnes of CO2 equivalent for the year 2022?,39.39,38.69,False
26,What was the total amount of indirect GHG emissions (Scope 2) in million tonnes of CO2 equivalent for the year 2021?,0.81,0.73,False
27,How many million tonnes of CO2 equivalent were emitted indirectly from energy consumption (Scope 2) in 2022?,0.79,0.73,False
28,What was the total amount of direct methane emissions (Scope 1) in thousands of tonnes for the year 2023?,39.1,49.1,False
29,What was the total amount of electricity produced from renewable sources in GWh for the year 2022?,2.836,4.242,False
30,What was the Net Carbon Footprint upstream (Scope 1+2) in million tonnes CO2eq. for the year 2023?,8.9,9.9,False
31,What was the Net Carbon Footprint upstream (Scope 1+2) in million tonnes CO2eq. for the year 2022?,9.9,9.9,True
32,What was the Net Carbon Footprint upstream (Scope 1+2) in million tonnes CO2eq. for the year 2021?,11,9.9,False
33,What was the Net Carbon Footprint Eni (Scope1+2) for the year 2023 in million tonnes CO2 eq.?,26.1,26.1,True
34,What was the Net Carbon Footprint Eni (Scope1+2) for the year 2022 in million tonnes CO2 eq.?,29.9,26.1,False
35,What was the Net Carbon Footprint Eni (Scope1+2) for the year 2021 in million tonnes CO2 eq.?,33.6,26.1,False
36,What were the Net GHG Lifecycle Emissions (Scope 1+2+3) in million tonnes CO2 eq. in the year 2023?,398,456.0,False
37,What were the Net GHG Lifecycle Emissions (Scope 1+2+3) in million tonnes CO2 eq. in the year 2022?,419,456.0,False
38,What were the Net GHG Lifecycle Emissions (Scope 1+2+3) in million tonnes CO2 eq. in the year 2021?,456,456.0,True
39,What was the Net Carbon Intensity (Scope 1+2+3) in gCO2eq./MJ for the year 2023?,65.6,66.3,False
40,What was the Net Carbon Intensity (Scope 1+2+3) in gCO2eq./MJ for the year 2022?,66.3,66.3,True
41,What was the Net Carbon Intensity (Scope 1+2+3) in gCO2eq./MJ for the year 2021?,66.5,66.3,False
42,What was the net carbon footprint upstream (Scope 1+2) in mmtonnes CO2eq for the year 2023?,8.9,8.9,True
43,What was the net carbon footprint Eni (Scope 1+2) in mmtonnes CO2eq for the year 2022?,29.9,26.1,False
44,How much were the indirect GHG emissions (Scope 3) other than those due to purchases from other companies in tonnes of CO2 equivalent for the year 2023?,174,174.0,True
45,What were the net GHG emissions (Scope 1+2+3) in tonnes of CO2 equivalent for the year 2022?,194,200.0,False
