"in €m;Total;Non-current;Current;Total;Non-current;Current
Obligations under partial retire- ment contracts;62;47;15;103;82;21
Other staff costs;199;166;33;196;157;39
Obligation to return emissions certificates;225;-;225;125;-;125
Onerous contracts;150;95;55;161;104;57
Environmental restoration;32;28;4;39;29;10
Litigation;218;35;183;243;28;215
Restructuring/severance pay- ments;49;7;42;125;55;70
Maintenance of lease aircraft;401;318;83;310;212;98
Warranties;72;-;72;81;-;81
Other provisions;232;68;164;246;90;156
Total;1,640;764;876;1,629;757;872"
