"in€m;2023;2022
Trade receivables from non-consolidated subsidiaries;33;19
Trade receivables from joint ventures;21;8
Trade receivables from associated companies;2;6
Trade receivables from other affiliated companies;-;-
Total trade receivables;56;33
Other receivables from non-consolidated subsidiaries;114;107
Other receivables from joint ventures;19;23
Other receivables from associated companies;6;10
Other receivables from other affiliated companies;-;-
Total other receivables;139;140
Loans to non-consolidated subsidiaries;48;55
Loans to joint ventures;7;3
Loans to associated companies;-;-
Total non-current receivables;55;58"
