"Name;Equity stake in%;Voting share in %;Voting share in %;Different reporting period
Yamasa Aircraft LH9 Kumiai, Okayama, Japan;0.00;0.00;3;
Logistics business segment;;;
Flip No. 250 Co., Ltd., Tokyo, Japan;0.00;0.00;;;
Flip No. 251 Co., Ltd., Tokyo, Japan;0.00;0.00;7;
Flip No. 252 Co., Ltd, Tokyo, Japan;0.00;0.00;7;
FLIP No. 267 Co., Ltd., Tokyo, Japan;0.00;0.00;;;
FLIP No. 268 Co., Ltd., Tokyo, Japan;0.00;0.00;3;
FLIP No. 269 Co., Ltd., Tokyo, Japan;0.00;0.00;3;
Flip No. 275 Co., Ltd., Tokyo, Japan;0.00;0.00;9;
Flip No. 276 Co., Ltd., Tokyo, Japan;0.00;0.00;3;
Flip No. 277 Co., Ltd., Tokyo, Japan;0.00;0.00;9;
Jettainer Americas, Inc., East Meadow, USA;100.00;100.00;;;
Jettainer GmbH, Raunheim;100.00;100.00;;;
Lufthansa Cargo Aktiengesellschaft, Frankfurt/Main;100.00;100.00;;;
time:matters GmbH, Neu-lsenburg;100.00;100.00;;;
MRO business segment;;;
BizJet International Sales &amp; Support, Inc., Tulsa, USA;100.00;100.00;;;
Hamburger Gesellschaft fur Flughafenanlagen mbH, Hamburg;100.00;100.00;;;
Hawker Pacific Aerospace, Sun Valley, USA;100.00;100.00;;;
Lufthansa Industry Solutions AS GmbH, Norderstedt Lufthansa Industry Solutions BS GmbH, Raunheim;100.00;100.00;;;
Lufthansa Industry Solutions GmbH &amp; Co. KG., Norderstedt;100.00;100.00;;;
Lufthansa Industry Solutions Verwaltungs GmbH, Norderstedt;100.00;100.00;;;
Lufthansa Technik AERO Alzey GmbH, Alzey;100.00;100.00;;;
Lufthansa Technik AG, Hamburg;100.00;100.00;;;
Lufthansa Technik Airmotive Ireland Holdings Ltd., Dublin, Ireland;100.00;100.00;;;
Lufthansa Technik Airmotive Ireland Leasing Limited, Dublin, Ireland;100.00;100.00;;;
Lufthansa Technik Budapest Repilégép Nagyjavité Kft., Budapest, Hungary;100.00;100.00;;;
Lufthansa Technik Component Services LLC, Tulsa, USA;100.00;100.00;;;
Lufthansa Technik Immobilien- und Verwaltungsgesellschaft mbH, Hamburg;100.00;100.00;;;
Lufthansa Technik Landing Gear Services UK Limited, Kestrel Way, Hayes, UK;100.00;100.00;;;"
