"Economic activities;Code(s);Absolute revenue €m;Proportion of revenue in%;2s SP LE B £ E o) Oo Nj Y; N/EL;ss ca £o bo =;gs 5 EB Se 5 8 Y;N; N/EL;2 8 ® 5 3 £ oO;2 S a;og SS 26 33 ao;Se oS Qe 5 £ Oo;so 8 28 ® £ 1s) Y/N;2 OG 3 a $B 38 a;DSNH;criteria (“Does;Not BS 5 e3 oo 8 Y/N;Significantly 2 8 8 5 3 &amp; oO Y/N;Harm”);MS ES oe £9 se Y/N;8 Taxonomy-aligned (A.1.);or taxonomy-eligible revenue, 2022 (A.2.) proportion of in %;Category “enabling activity”;Category “transitional activity”
A. TAXONOMY-ELIGIBLE ECONOMIC ACTIVITIES;;;;;;;,,,,,,,,,,,,,,,
A. Taxonomy-aligned economic activities;;;;;;;;,,,,,,,,,,,,,,,
Revenues (A.1);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,
of which enabling;;;;;;;,,,,,,,,,,,,,,,
of which transitional;;;;;;;,,,,,,,,,,,,,,,
A.2 Taxonomy-eligible but not taxonomy-aligned economic activities;;;;;;;;,,,,,,,,,,,,,,,
Revenues (A.2);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,
Total (A.1 + A.2);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,
B. TAXONOMY-NON-ELIGIBLE ECONOMIC ACTIVITIES;;;;;;;;,,,,,,,,,,,,,,,
Revenues of taxonomy-non-eligible Economic activities (B);;35,442;100%;;;;;;;;;,,,,,,,,,,,,,,,"
