"Passenger Airlines business segment;;;
NTL13 Ltd., Tokyo, Japan;28 Mar 2023;;Established
NTL14 Ltd., Tokyo, Japan;28 Mar 2023;;Established
NTL15 Ltd., Tokyo, Japan;28 Mar 2023;;Established
NTL16 Ltd., Tokyo, Japan;28 Mar 2023;;Established
NBB Bluejay Co., Ltd., Tokyo, Japan;19 Apr 2023;;Established
NBB-10859 Lease Partnership, Tokyo, Japan;13 Oct 2023;;Established
NTL8 Ltd., Tokyo, Japan;;28 Mar 2023;Liquidation
Lufthansa Leasing Austria GmbH &amp; Co. OG Nr. 17, Salzburg,;6 Apr 2023;;Merger
Yamasa Aircraft LH11 Kumiai, Okayama, Japan;;6 Jun 2023;Liquidation
Yamasa Aircraft LH10 Kumiai, Okayama, Japan;;21 Jul 2023;Liquidation
Gabriela Finance 2012 Limited, Dublin, Ireland;;14 Aug 2023;Liquidation
Raft Co., Ltd. , Tokyo, Japan;;13 Oct 2023;Liquidation
FG Unity Leasing Co. Ltd., Tokyo, Japan;;20 Oct 2023;Liquidation
FG Vision Co.;20 Oct 2023;;;
Leasing Ltd., Tokyo, Japan;;;;Liquidation
NBB Koblenz Lease Co. Ltd.,;26 Oct 2023;;;
Tokyo, Japan;;;;Liquidation
NBB Rhine Valley Lease LLC, Tokyo, Japan;;26 Oct 2023;Liquidation
Catering business segment;;;
Aerococina S.A. de C.V., Mérida, Mexico;;31 Oct 2023;Disposal
Airo Catering Services Eesti OU, Tallinn, Estonia;;31 Oct 2023;Disposal
Airo Catering Services Latvija SIA, Marupe, Latvia;;31 Oct 2023;Disposal
Airo Catering Services Sweden AB, Stockholm, Sweden;;31 Oct 2023;Disposal
Airo Catering Services Ukraine, Boryspil, Ukraine;;31 Oct 2023;Disposal
AO AeroMEAL, Yemelyanovo, Russian Federation;;31 Oct 2023;Immaterial due to sale of LSG
Arlington Services Mexico, S.A. de C.V., Mexico City, Mexico;;31 Oct 2023;Disposal
Arlington Services Panama, S.A., Panama-Stadt, Panama;;31 Oct 2023;Disposal
Bahia Catering Ltda, Salvador, Brazil;;31 Oct 2023;Disposal
Belém Servicos de Bordo Ltda, Belém, Brazil;;31 Oct 2023;Disposal
Capital Gain International (1986) Ltd., Hongkong, China;;31 Oct 2023;Disposal
Cater Suprimento de Refeigdes Ltda, Rio de Janeiro, Brazil;;31 Oct 2023;Disposal
Caterair Servicos de Bordo e Hotelaria Ltda., Rio de Janeiro, Brazil;;31 Oct 2023;Disposal
Charm Food Service Co., Ltd., Incheon, South Korea;;31 Oct 2023;Disposal
CLS Catering Services Ltd., Vancouver, British Columbia, Canada;;31 Oct 2023;Disposal"
