"in millions;Notes;Share capital;Capital reserves;Retained earnings;Currency effects;Hedges;Cost of hedging;Own shares;Equity attributable to shareholders of Infineon Technologies AG;Equity attributable to hybrid capital investors;Total equity
balance as of 1 October 2022;;2,612;6,579;3,506;1,060;7;-;(23);13,741;1,203;14,944
total comprehensive income (loss), net of tax;;-;-;3,098;-;-;-;3,098;39;3,137
Other comprehensive income (loss), net of tax;;-;-;17;(718);9;(4);-;(696);-;(696)
total comprehensive income (loss), net of tax;;-;-;3,115;(718);9;(4);-;2,402;39;2,441
transactions with owners;;-;-;-;-;-;-;-;-;-;-
Contributions by and distributions to owners;;-;-;-;-;-;-;-;-;-;-
Dividends;20;-;-;(417);-;-;-;-(417);-;(417)
Share-based payment;20, 22;-;82;-;-;-;-;82;-;82
Disposal (purchase) of own shares;20;-;-;-;-;-;-;10;10;-;10
Other contributions and distributions;20;-;23;-;-;-;-;23;-;23
Total contributions by and distributions to owners;;-;105;(417);-;-;-;10;(302);-;(302)
total transactions with owners;;-;105;(417);-;-;-;10;(302);-;(302)
transactions with hybrid capital investors;;-;-;-;-;-;-;-;-;(39);(39)
total transactions with hybrid capital investors;;-;-;-;-;-;-;-;-;(39);(39)
balance as of 30 September 2023;;2,612;6,684;6,204;342;16;(4);(13);15,841;1,203;17,044"
