"csv
€in millions;Notes;30 September 2023;30 September 2022;Change —§_—2---_ absolute;in%
LIABILITIES AND EQUITY;;;;;
Short-term financial debt and current portion of long-term financial debt;16;330;752;(422);(56)
Trade payables;;2765;2260;505;22
Current provisions;17;799;983;(184);(19)
Current income tax payables;;418;356;62;17
Current lease liabilities;15;72;76;(4);(5)
Other current liabilities;18,27;1285;1161;124;11
Total current liabilities;;5669;5588;81;1
Long-term financial debt;16;4403;4910;(507);(10)
Pensions and similar commitments;19;268;297;(29);(10)
Deferred tax liabilities;6;254;371;(117);(32)
Other non-current provisions;17;300;289;11;4
Non-current lease liabilities;15;309;310;(1);-
Other non-current liabilities;27;192;203;(11);(5)
Total non-current liabilities;;5726;6380;(654);(10)
Total liabilities;;11395;11968;(573);(5)
Equity:;20;;;;;
Ordinary share capital;;2612;2612;-;-
Additional paid-in capital;;6684;6579;105;2
Retained earnings;;6204;3506;2698;77
Other reserves;;354;1067;(713);(67)
Own shares;;(13);(23);10;43
Hybrid capital;;1203;1203;-;-
Total equity;;17044;14944;2100;14"
