"in millions;Notes;Share capital;Capital reserves;Retained earnings;Currency effects;Other reserves Hedges;Cost of hedging;Own shares;Equity attributable to shareholders of Infineon Technologies AG;Equity attributable to hybrid capital investors;Total equity
alance as of 1 October 2021;;2,612;6,513;1,407;(309);3;-;(28);10,198;1,203;11,401
tal comprehensive income (loss), net of tax i;;;;
Profit (loss) for the period;;-;-;2,140;-;-;-;-;2,140;39;2,179
Other comprehensive income (loss), net of tax;;-;-;310;1,369;4;-;-;1,683;-;1,683
tal comprehensive income (loss), net of tax;;-;-;2,450;1,369;4;-;-;3,823;39;3,862
ansactions with owners;;;;
Contributions by and distributions to owners;;
Dividends;20;-;-;(351);-;-;-;-;(351);-;(351)
Share-based payment;20,22;-;57;-;-;-;-;57;-;57
Disposal (purchase) of own shares;20;-;-;-;-;-;-;5;5;-;5
Other contributions and distributions;20;-;9;-;-;-;-;9;-;9
Total contributions by and distributions to owners;;-;66;(351);-;-;-;5;(280);-;(280)
tal transactions with owners;;-;66;(351);-;-;-;5;(280);-;(280)
colspan=""12"";ansactions with hybrid capital investors;;
Compensations to hybrid capital investors;20;-;-;-;-;-;-;-;-;(39);(39)
tal transactions with hybrid capital investors;;-;-;-;-;-;-;-;-;(39);(39)
alance as of 30 September 2022;;2,612;6,579;3,506;1,060;7;-;(23);13,741;1,203;14,944"
