"csv
€in millions;2022
Cost;
Balance as of the beginning of the fiscal year;5,962
Additions through business combination;28
Disposals;0
Currency effects;1,093
Balance as of the end of the fiscal year;7,083
Accumulated impairments and other changes;
Balance as of the beginning of the fiscal year;0
Impairments;0
Disposals;0
Currency effects;0
Balance as of the end of the fiscal year;0
Carrying amount;
Balance as of the beginning of the fiscal year;5,962
Balance as of the end of the fiscal year;7,083"
