"csv
€ in millions;Notes;2023;2022;absolute;in%
;20;;; 
Profit (loss) for the period;;3,137;2,179;958;44
Actuarial gains (losses) on pensions and similar commitments;;17;310;(293);(95)
Total items that will not be reclassified subsequently to profit or loss;;17;310;(293);(95)
Currency effects;;(718);1,369;(2,087);–––
Gains (losses) resulting from hedge accounting;|;9;4;5;+++
Cost of hedging;;(4);-;(4);–––
Total items that may be reclassified subsequently to profit or loss;;(713);1,373;(2,086);–––
Other comprehensive income (loss), net of tax;;(696);1,683;(2,379);–––
Total comprehensive income (loss), net of tax;};2,441|;3,862;(1,421);(37)
Attributable to:;;;;
Shareholders and hybrid capital investors of Infineon Technologies AG;;2,441;3,862;(1,421);(37)"
