"csv
€ in millions;Notes;tember 2023;tember —§ 2022;absolute;in%
ASSETS ||;;;;
Cash and cash equivalents;;1,820;1,438;382;27
Financial investments;9;;1,770;2,279;(509);(22)
Trade receivables;10;;1,991;1,887;104;6
Inventories;11;;3,974;3,081;893;29
Current income tax receivables;;63;58;5;9
Contract assets;;115;85;30;35
Other current assets;12,27;;959;625;334;53
Total current assets;;10,692;9,453;1,239;13
Property, plant and equipment;13;;7,045;5,545;1,500;27
Goodwill;14;;6,547;7,083;(536);(8)
Other intangible assets;13;;2,977;3,483;(506);(15)
Right-of-use assets;15;;405;405;-;-
Investments accounted for using the equity method;5;;114;100;14;14
Non-current income tax receivables;;2;2;-;-
Deferred tax assets;6;;268;527;(259);(49)
Other non-current assets;27;;389;314;75;24
Total non-current assets;;17,747;17,459;288;2"
