"September;€in millions;in % of revenue;€in millions;in % of revenue;Change in %
Revenue by segment;16,309;|;14,218;|;15
Automotive;8,242;51;6,516;45;26
Green Industrial Power;2,205;13;1,790;13;23
Power &amp; Sensor Systems;3,798;23;4,070;29;(7)
Connected Secure Systems;2,046;13;1,822;13;12
Other Operating Segments;18;0;20;0;(10)
Corporate and Eliminations;–;–;–;–;–
Selected results of operations key data; ; ; ; ; 
Gross profit/Gross margin;7,413;45.5;6,131;43.1;21
Research and development expenses;(1,985);12.2;(1,798);12.6;(10)
Selling, general and administrative expenses;(1,599);9.8;(1,565);11.0;(2)
Operating profit;3,948; ;2,845; ;39
Profit (loss) for the period;3,137; ;2,179; ;44
Segment Result/ Segment Result Margin;4,399;27.0;3,378;23.8;30
Basic earnings per share in €;2.38; ;1.65; ;44
Diluted earnings per share in €;2.38; ;1.65; ;44
Adjusted earnings per share in €- diluted;2.65; ;1.97; ;35
Dividend per share in €;0.35; ;0.32; ;9"
