index,question,value,response
0,Which company has the lowest energy consumption over the last 2 years among the following companies in million kWh?,munich-re,Response too long
1,Which companies have the 5 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2eq?,"OTC_ESOCF, OTC_BAYZF, OTC_ADDDF, axa, NYSE_AZ",Response too long
2,What are the 4 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"1.11, 0.2, 0.14, 0.01",Response too long
3,What are the top 5 lowest water consumption values (in ascending order) for the year 2023 among the following companies in m3?,"432730.0, 5049144.0, 6780000.0, 8200000.0, 35400000.0",5.41743e+06#4.72231e+06#4.92448e+06#4.84016e+06#4.09721e+06
4,What are the 4 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in MtCO2eq?,"61.9, 34.51, 0.03, 0.02",Response too long
5,Which company has the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in tCO2e?,OTC_ESOCF,Response too long
6,What are the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"71040000.0, 23800000.0",92467#97455
7,What is the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in MtCO2eq?,53.07,Response too long
8,What is the lowest energy consumption over the last 2 years among the following companies in TWh?,0.03,Response too long
9,What are the 4 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tons CO2e?,"770748.0, 3130824.0, 7635784.0, 9720000.0","1.91#1.5#1.2#0.2 |

### Text

| Company name: OTC_ADDDF |

| Scope 3: Indirect emissions from our upstream and downstream value chains (by materiality) |

| of which indirect emissions from our upstream value chain to attain the SBT |

| Million metric tons of CO2 equivalents |

| Scope 1: Direct emissions |

| Scope 2: Indirect emissions according to the market-based method |

| Total greenhouse gas emissions according to the market-based method |

| Direct greenhouse gas emissions - Scope 1 |

| Indirect energy-related greenhouse gas emissions - Scope 2 (location based) |

| Indirect upstream and downstream greenhouse gas emissions as the sum of the following categories - Scope 3 |

| Category 1: Purchased goods and services |

| Category 2: Capital goods |

| Category 3: Combustion fuel and energy-related emissions |

| Category 4: Upstream transmission and distribution |

| Category 5: Waste |

| Category 6: Business travel |

| Category 7: Commuting by employees |

| Category 9: Downstream transmission and distribution |

| Category 10: Processing of sold products |

| Category 11: Use of sold products |

| Category 15: Investments |

| Biogenic emissions |

| Unnamed: 0 |

| Unnamed: 1 |

| Scope |

| Scope 1 |

| Thereof from business trips with company cars |

| Scope 2 |

| GHG emissions from indirect energy consumption |

| Scope 3 |

| Other indirect GHG emissions |

| Scope 1-3 - Own operations |

| Total GHG emissions, scope 1-3 own operations, scope 2 market-based |

| TCO,eq |

| Scope 1 |

| Scope 2 market-based |

| Scope 2 location-based |

| Total Scopes 1 and 2 market-based |

| Total Scopes 1 and 2 location-based |

| Partial Scope 3 (a) |

| Partial Scope 3 restated (a) (b) |

| Million metric tons of CO2 equivalents |

| 1.91#1.5#1.2#0.2 |

| Company name: OTC_BAYZF |

| Greenhouse Gas Emissions |

| Million metric tons of CO2 equivalents |

| Scope 1: Direct emissions |

| Scope 2: Indirect emissions according to the market-based method |

| Total greenhouse gas emissions according to the market-based method |

| Scope 3: Indirect emissions from our upstream and downstream value chains (by materiality) |

| of which indirect emissions from our upstream value chain to attain the SBT |

| 6.05905e+06 |

| 2022 |

| 1.91#1.5#1.2#0.2 |

| 2023 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.72#0.2 |

| 1.89#1.12#9.7"
10,What are the top 5 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in MWh?,"91604239.95, 12241000.0, 1124327.0, 71218.0, 33090.0",Response too long
11,What are the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in TCO2eq?,"22042.0, 42423.0",Response too long
12,What are the 4 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in MtCO2eq?,"3.28, 0.2, 0.11, 0.04",Response too long
13,What is the largest energy consumption from 2022 to 2023 among the following companies?,1201276.0,Response too long
14,Which companies have the 5 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,"NASDAQ_DASTY, axa, munich-re, OTC_ESOCF, OTC_RWNEF",Response too long
