index,question,value,response
0,Which company has the lowest energy consumption over the last 2 years among the following companies in million kWh?,munich-re,deutsche-telekom-ag
1,Which companies have the 5 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2eq?,"OTC_ESOCF, OTC_BAYZF, OTC_ADDDF, axa, NYSE_AZ","otc_adddf, otc_bayzf, axa, otc_esocf, nyse_az"
2,What are the 4 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"1.11, 0.2, 0.14, 0.01","3193.00, 142.46, 1.12, 0.20"
3,What are the top 5 lowest water consumption values (in ascending order) for the year 2023 among the following companies in m3?,"432730.0, 5049144.0, 6780000.0, 8200000.0, 35400000.0","432730.00, 5049144.00, 6780.00, 35400.00, 8200.00"
4,What are the 4 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in MtCO2eq?,"61.9, 34.51, 0.03, 0.02","61.90, 34.51, 33.09, 4.51"
5,Which company has the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in tCO2e?,OTC_ESOCF,"otc_adddf, 142457.00"
6,What are the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"71040000.0, 23800000.0","735018, 92467"
7,What is the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in MtCO2eq?,53.07,"34.51, 43.66"
8,What is the lowest energy consumption over the last 2 years among the following companies in TWh?,0.03,"33.09, 33.26"
9,What are the 4 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tons CO2e?,"770748.0, 3130824.0, 7635784.0, 9720000.0","0.01, 0.10, 9.72, 23.80"
10,What are the top 5 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in MWh?,"91604239.95, 12241000.0, 1124327.0, 71218.0, 33090.0","1124327.00, 934805.00, 71218.00, 12241.00, 33.09"
11,What are the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in TCO2eq?,"22042.0, 42423.0","0.20, 3.28"
12,What are the 4 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in MtCO2eq?,"3.28, 0.2, 0.11, 0.04","112228.00, 65470.00, 22042.00, 0.20"
13,What is the largest energy consumption from 2022 to 2023 among the following companies?,1201276.0,1124327.00
14,Which companies have the 5 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,"NASDAQ_DASTY, axa, munich-re, OTC_ESOCF, OTC_RWNEF","natural gas, fuel, urban steam and cold, otc_rwnef, otc_esocf"
15,Which companies have the 3 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"OTC_BAYZF, OTC_RWNEF, OTC_ADDDF","otc_adddf, nasdaq_dasty, munich-re"
16,Which companies have the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tons CO2e?,"OTC_BAYZF, OTC_RWNEF","otc_adddf, munich-re"
17,Which companies have the 5 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in TCO2eq?,"NYSE_AZ, NASDAQ_DASTY, vivendi, munich-re, OTC_ESOCF","179523.00, 92467.00, 56530.00, 3039435.00, 735018.00"
18,Which companies have the 5 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in million mt CO2e?,"OTC_RWNEF, OTC_ESOCF, munich-re, axa, NASDAQ_DASTY","workforce in-scope™, 34.51, 61.90, 41.78, 33.09, 21.60"
19,Which company has the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,OTC_ESOCF,"otc_adddf, 142457.00"
20,Which companies have the 4 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in MtCO2eq?,"OTC_RWNEF, OTC_ESOCF, munich-re, OTC_ADDDF","otc_rwnef, otc_esocf, munich-re, otc_adddf"
21,What is the largest energy consumption from 2022 to 2023 among the following companies?,347068,250916.00
22,Which companies have the 4 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in million mt CO2e?,"OTC_ESOCF, OTC_RWNEF, OTC_BAYZF, munich-re","munich-re, nyse_az, otc_esocf, otc_rwnef"
23,What is the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,5894811.0,5894811.00
24,Which company has the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,OTC_RWNEF,vivendi
25,Which companies have the 3 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,"axa, OTC_ADDDF, NYSE_AZ","otc_rwnef, otc_esocf, otc_adddf"
26,What are the 4 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"71040000.0, 23800000.0, 7635784.0, 3130824.0","5894811.00, 3039435.00, 92467.00, 23.80"
27,What are the 3 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in TCO2eq?,"5100000.0, 1120000.0, 142293.0","142457.00, 30490.00, 19496.00"
28,Which company has the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2e?,OTC_BAYZF,otc_adddf
29,Which companies have the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in MtCO2eq?,"vivendi, NYSE_AZ","otc_bayzf, otc_esocf"
30,What are the 5 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in million mt CO2e?,"61.9, 34.51, 0.03, 0.02, 0.0","4178.00, 34.51, 61.90, 33.09, 21.60"
31,Which companies have the 3 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2-eq?,"NASDAQ_DASTY, vivendi, NYSE_AZ","otc_rwnef, nyse_az, vivendi"
32,Which companies have the 5 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2eq?,"vivendi, axa, NYSE_AZ, OTC_RWNEF, OTC_ESOCF","otc_rwnef, otc_esocf, vivendi, nyse_az, axa"
33,Which companies have the 4 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2eq?,"OTC_ESOCF, OTC_BAYZF, axa, NYSE_AZ","axa, otc_esocf, vivendi, otc_bayzf"
34,Which company has the lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in million mt CO2e?,vivendi,otc_rwnef
35,What is the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2e?,9720000.0,5894811.00
36,What are the 5 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2eq?,"22042.0, 42423.0, 112228.0, 200000.0, 3280000.0","0.20, 3.28, 42.42, 42423.00, 22042.00"
37,Which companies have the top 5 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in million kWh?,"NASDAQ_DASTY, munich-re, deutsche-telekom-ag, OTC_DPSGY, heidelberg-materials","carbon intensity in millions of euros of revenue ifrs (tco,-eq/m€): 31.4, energy consumption (mwh): 71.22, energy consumption (scopes 1 and 2): 35056.00, energy consumption (gwh): 12.24, total: 250.92"
38,What is the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,4510000.0,142457.00
