";2023;2022;Change;2023;2022;2023;2022;2023;2022
;€mn;€mn;% ;%;%;€mn;€mn;€mn;€mn
Motor;5,760;5,060;13.8;104.5;101.5;-;885;(264);811
Fire and property reinsurance;4,256;3,769;12.9;104.1;95.5;19;(92);(135);69
thereof:;
Household and homeowner;1,405;1,225;14.7;103.3;101.8;-;-;(43);(18)
Fire;1,003;936;7.2;105.2;82.9;18;(92);(25);35
Engineering;470;413;13.8;89.1;77.3;-;-;47;100
Business interruption;237;285;(16.9);68.3;58.6;-;-;61;109
Other property reinsurance;1,141;910;25.5;117.7;124.0;-;-;(175);(158)
Liability;1,216;1,138;6.9;947;749;(52);(4);10;255
Life;671;584;14.9;-;-;-;-;26;42
Personal accident;435;427;1.9;79.0;85.8;4;(3);98;58
Marine and aviation;354;331;6.9;88.2;72.1;(17);(39);15;39
Credit and bond;332;313;6.1;98.3;71.0;(47);(80);(60);(1)
Legal expenses;308;295;4.4;90.5;94.2;(34);(22);(5);(5)
Health;279;257;8.6;-;-;-;-;11;1
Other lines;1,104;1,050;5.1;106.6;91.6;(65);(160);(129);(82)
Total;14,714;13,224;11.3;101.9;94.4;(193);486;(433);1,187"
