"Taxonomy-aligned activities;Ratio in%;Monetary amount in bn€;Monetary amount in bn€
(1) Climate change mitigation;1.44;10.7;13.8
a) Transitional Activities;0.03;0.2;0.4
b) Enabling Activities;0.21;1.6;2.4
(2) Climate change adaptation;0.01;0.0;0.8
a) Enabling Activities;-;-;-
(3) The sustainable use and protection of water and marine;-;-;-
a) Enabling Activities;-;-;-
(4) The transition to a circular economy;-;-;-
a) Enabling Activities;-;-;-
(5) Pollution prevention and control;-;-;-
a) Enabling Activities;-;-;-
(6) The protection and restoration of biodiversity and ecosystems;-;-;-
a) Enabling Activities;-;-;-"
