"Former members of the Board of Management;Share-based;compensation;Pensions;in % of total;Other compensation;in % of total;Total € thou
Sergio Balbinot (until 12/2022);1318;21;3359;54;1625.5;24;6176
Ivan de la Sota (until 12/2022);1082;100;-;-;-;-;1082
Jacqueline Hunt (until 09/2021);1278;99;-;-;9;1;1287
Dr. Christof Mascher (until 12/2020);1159;90;132;10;-;-;1291
Niran Peiris (until 12/2020);1225;100;-;-;-;-;1225
Dr. Axel Theis (until 03/2020);1318;80;334;20;-;-;1652
Dr. Helga Jung (until 12/2019);1225;97;41;3;-;-;1266
Dr. Dieter Wemmer (until 12/2017);-;-;95;100;-;-;95
Dr. Werner Zedelius (until 12/2017);-;-;482;100;-;-;482
Dr. Maximilian Zimmerer (until 12/2016);-;-;282;100;-;-;282
Manuel Bauer (until 08/2015);-;-;136;100;-;-;136
Michael Diekmann (until 04/2015);-;-;682;100;-;-;682
Clement Booth (until 12/2014);-;-;151;100;-;-;151"
