"; ;Taxonomy KPIs for insurance undertakings; 
Allianz Group reporting under the Taxonomy Regulation;Ratios (relative to total assets covered;Allianz Group proprietary investments; 
The weighted average value of all the investments of insurance or reinsurance undertakings that are;by the KPI) in%;The weighted average value of all the investments of insurance or reinsurance undertakings that are;Monetary amount: (€ bn: 
directed at funding, or are associated with Taxonomy-aligned economic activities relative to the value of total assets covered by the KPI, with following weights for investments in undertakings per below:; ;directed at funding, or are associated with Taxonomy-aligned economic activities, with following weights for investments in undertakings per below:; 
Turnover;1.49;Turnover;11.0 
CAPEX;2.02;CAPEX;15.0 
percentage by or reinsurance undertakings (total AuM). Excluding investments in sovereign entities:;75.46;The monetary value of assets covered by the KPI. Excluding investments in sovereign entities:;741.9 
Additional,;complementary disclosures:;breakdown of denominator of the KPI; 
The percentage of derivatives relative to total assets covered by the KPI:;2.80;Value in monetary amounts of derivatives:;20.8 
The proportion of exposures to financial and non-financial undertakings not subject to Articles 19a and 29a of Directive 2013/34/EU over total assets covered by the KPI*:; ;Value of exposures to financial and non-financial undertakings not subject to Articles 19a and 29a of Directive 2013/34/EU:; 
For non-financial undertakings;29.80;For non-financial undertakings;221.0 
For financial undertakings;12.72;For financial undertakings;94.3 
The proportion of exposures to financial and non-financial undertakings from non-EU countries not subject to Articles 19a and 29a of Directive 2013/34/EU over total assets covered by the KPI*:; ;Value of exposures to financial and non-financial undertakings from non-EU countries not subject to Articles 19a and 29a of Directive 2013/34/EU:; 
For non-financial undertakings;22.66;For non-financial undertakings;168.1 
For financial undertakings;10.15;For financial undertakings;75.3 
The proportion of exposures to financial and non-financial undertakings subject to Articles 19a and 29a of Directive 2013/34/EU over total assets covered by the KPI:; ;Value of exposures to financial and non-financial undertakings subject to Articles 19a and 29a of Directive 2013/34/EU:; 
For non-financial undertakings;8.96;For non-financial undertakings;66.5 
For financial undertakings;33.59;For financial undertakings;249.2 
The proportion of exposures to other counterparties and assets over total assets covered by the KPI:;12.13;Value of exposures to other counterparties and assets:;90.0 
The proportion of the insurance or reinsurance undertaking’s investments other than investments held in respect of life insurance contracts where the investment risk is borne by the policy holders.;85.62;Value of insurance or reinsurance undertaking’s investments other than investments held in respect of life insurance contracts where the investment risk is borne by the policy holders:;635.2 
The value of all the investments that are funding economic activities that are not Taxonomy-eligible relative to the value of total assets covered by the KPI’:;35.93;The value of all the investments that are funding economic activities that are not Taxonomy-eligible relative to the value of total assets covered by the KPI:; 
The value of all the investments that are funding Taxonomy-eligible economic activities, but not Taxonomy-aligned relative to the value of total assets covered by the KPI’:;17.27;Value of all the investments that are funding Taxonomy-eligible economic activities, but not Taxonomy-aligned:;"
