index,question,value,response
0,What are the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2e?,"31363.5, 21817500000.0","21779.00, 31774.00"
1,Which companies have the top 2 lowest water consumption values (in ascending order) obtained by summing the 2023 and 2022 consumption for the following companies in millions of m3?,"OTC_BAMGF, OTC_ESOCF","OTC_ESOCF, OTC_BAMGF"
2,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,13.44,0.20
3,Which companies have the 2 highest percentages of hazardous waste generated in 2023 (sorted in descending order) among the following companies?,"NASDAQ_DASTY, heidelberg-materials","heildelberg-materials, NASDAQ_DASTY"
4,Which company has the lowest energy consumption over the last 4 years among the following companies in GWh?,deutsche-telekom-ag,deutsche-telekom-ag
5,Which company has the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tons?,vivendi,vivendi
6,Which company has the highest percentage of hazardous waste generated in 2022 among the following companies?,NYSE_TTE,OTC_SU
7,Which company has the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in Tonnes of CO2 equivalent?,OTC_BAYZF,terna
8,What is the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in million cubic meters?,6.72,"6.78, 432.73"
9,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,33.67,0.61
10,What are the 2 lowest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in ascending order) among the following companies in tonnes?,"104.8, 10586.8","1827.60, 583.10"
11,What is the average percentage variation in energy consumption from 2023 to 2022 among the following companies?,4.64,"-10.00, -1.00"
12,Which companies have the top 2 highest water consumption values (in descending order) obtained by summing the 2023 and 2022 consumption for the following companies in m3?,"OTC_BAMGF, munich-re","munich-re, OTC_BAMGF"
13,What is the lowest energy consumption over the last 2 years among the following companies in MWh?,66350.0,33.09
14,Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,prosiebensat1-media,prosiebensat1-media
15,What are the 2 highest percentages of hazardous waste generated in 2023 (sorted in descending order) among the following companies?,"6.15, 6.0","98.00%, 100.00%"
16,What is the average percentage of hazardous waste generated in 2022 among the following companies?,20.75,"0.00, 0.06"
17,What is the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,1.63,10.00
18,What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in t?,873133.5,"927880.00, 818387.00"
19,What is the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,0.94,0.20
20,Which companies have the 2 lowest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in ascending order) among the following companies in tons?,"OTC_SU, heidelberg-materials","heidelberg-materials, GRI"
21,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,31.69,0.06
22,Which company has the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in MtCO2eq?,OTC_ADDDF,NYSE_AZ
23,What is the total energy consumption generated by the following companies in the last <years> years in MWh?,630964.0,"250916.00, 33.09"
24,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in million mt CO2e?,OTC_ESOCF,Terna
25,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,11.15,0.20
26,Which companies have the 2 highest percentages of hazardous waste generated in 2023 (sorted in descending order) among the following companies?,"NYSE_TTE, OTC_SU","OTC_SU, NYSE_TTE"
27,What is the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,5.42,12.99
28,Which companies have the top 2 highest values of average energy consumed in the last 3 years (sorted in descending order) among the following companies in TWh?,"NYSE_TTE, terna","Terna, NYSE_TTE"
29,Which company has the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tons?,OTC_BAMGF,OTC_BAMGF
30,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in million mt CO2e?,OTC_ESOCF,NYSE_AZ
31,Which company has the largest percentage of energy consumption from renewable sources in 2023 among the following companies?,NASDAQ_DASTY,NASDAQ_DASTY
32,Which companies have the top 2 highest water consumption values (in descending order) obtained by summing the 2023 and 2022 consumption for the following companies in millions of cu.m?,"OTC_ESOCF, OTC_CRERF","43.60, 20.40"
33,Which company has the highest percentage of hazardous compared to non-hazardous waste produced in 2023 among the following companies?,vivendi,vivendi
