"Indicators;Units;2023;2022;2021;2020
Breakdown by type of contract;;;;
Open-ended contract;% ;81%;69%;70%;72%
Fixed-term contract;% ;19%;31%;30%;28%
Breakdown by category;;;;
White collar;% ;26%;21%;22%;20%
Blue collar;% ;74%;79%;78%;80%
Breakdown by region;;;;
Asia-Pacific;% ;22%;35%;33%;28%
Western Europe;% ;8%;10%;9%;8%
North America;% ;61%;48%;47%;50%
Rest of the world;% ;9%;7%;10%;14%
Breakdown by gender;;;;
Men;% ;61%;60%;62%;63%
Women;% ;39%;40%;38%;37%
Breakdown by generation;;;;
Gen Z;% ;27%;34%;30%;UP
Millenials;% ;47%;44%;44%;UP
Gen X;% ;21%;16%;19%;UP
Boomer;% ;5%;6%;7%;UP
Silent;% ;0%;0%;0%;UP"
