GRI;Indicators;Units;2023;2022;2021;2020
;Estimated coverage (% water withdrawal);%;84%;83%;86%;88%
303-3;Total water withdrawals (other than for cooling);m3;1899190;1921569;2072263;1928032
303-3;of which surface water;m3;17699;14514;19156;17461
303-3;of which groundwater;m3;472199;492308;513631;452602
303-3;of which third party sources;m3;1377377;1388474;1507606;1446391
303-3;of which other sources;m3;31916;26273;31870;11578
303-3;Water withdrawn for cooling and restituted w/o impact;m3;813411;622951;879602;780201
303-3;Water withdrawal/Turnover;m3/million EUR;52.9;56.2;71.7;76.5
303-3;Water withdrawal intensity reduction vs 2017;%;-51.0%;-48.0%;-33.6%;-29.1%
303-3;Total water withdrawals from areas with water stress;m3;874114;842216;930603;UP
303-1;SSE #11 - Sites in water-stressed areas with a water conservation strategy and related action plan;%;73.0%;48.0%;8.5%;UP
