"Economic Activities;fo g g;a 3 3;zy 38 38 &lt;§ 82 2;° = =3 86 8s 8;fey = a3 88 gs 8;&lt; g 7;2 a 8;2 3 £ B 8 3;3 5 g 7
);(2);(3);(4);(5);(©);(a);(8);(9);(10)
; ;, Million Euros;Percent;YN: yet);YiN: VEL).;YN: «VEL;YiN: NEL;Y;N: NEL;Y:N: NEL
\. TAXONOMY-ELIGIBLE ACTIVITIES;;;;;;;;
\.1. Environmentally sustainable activities Taxonomy-aligned);;;;;;;;;
manufacture of renewable energy technologies;CCM 3.1;129;0%;Y;N/EL;N/EL;N/EL;N/EL;N/EL
manufacture of energy efficiency equipment for buildings;CCM 3.5;1,035;3%;Y;N/EL;N/EL;N/EL;N/EL;N/EL
manufacture of other low carbon technologies;CCM 3.6;121;0%;Y;N/EL;N/EL;N/EL;N/EL;N/EL
manufacture, installation, and servicing of HV, MV and LV electrical equipment for electrical transmission and distribution that result in or enable a substantial contribution to climate change mitigation;CCM 3.20;6,703;19%;Y;N/EL;N/EL;N/EL;N/EL;N/EL
transmission and distribution of electricity;CCM 4.9;-;-;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL
infrastructure for rail transport;CCM 6.14;52;0%;Y;N/EL;N/EL;N/EL;N/EL;N/EL
infrastructure enabling low carbon road transport and public transport;CCM 6.15;183;1%;Y;N/EL;N/EL;N/EL;N/EL;N/EL
infrastructure enabling low carbon water transport;CCM 6.16;50;0%;Y;N/EL;N/EL;N/EL;N/EL;N/EL
low carbon airport infrastructure;CCM 6.17;32;0%;Y;N/EL;N/EL;N/EL;N/EL;N/EL
installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings;CCM 7.5;494;1%;Y;N/EL;N/EL;N/EL;N/EL;N/EL
professional services related to energy performance of buildings;CCM 9.3;1,157;3%;Y;N/EL;N/EL;N/EL;N/EL;N/EL
manufacture, installation and associated services for leakage control technologies enabling leakage reduction and prevention in water supply systems;WTR 1.1;2;0%;N/EL;N/EL;Y;N/EL;N/EL;N/EL
provision of IT/OT data-driven solutions for leakage reduction;WTR 4.1;9;0%;N/EL;N/EL;Y;N/EL;N/EL;N/EL
provision of IT/OT data-driven solutions;CE 4.1;1,003;3%;N/EL;N/EL;N/EL;N/EL;Y;N/EL
repair, refurbishment and remanufacturing;CE 5.1;51;0%;N/EL;N/EL;N/EL;N/EL;Y;N/EL
sale of spare parts;CE 5.2;215;1%;N/EL;N/EL;N/EL;N/EL;Y;N/EL
product-as-a-service and other circular use- and result-oriented service models;CE 5.5;3;0%;N/EL;N/EL;N/EL;N/EL;Y;N/EL
turnover of environmentally sustainable activities (taxonomy-aligned) (A.1); ;11,240;31%;28%;-;0%;-;4%;-
of which enabling; ;10,970;31%;28%;-;0%;-;3%;-"
