"Activity the EU Disclosure;name and code as specified in Climate, Environmental and Delegated Acts;Activity definition as specified in the EU Climate and Environmental Delegated Acts;Corresponding business activities of Schneider Electric;Luodauy gqailvuoalni
;ccm 7.5;Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings;Service plans related to building management and power metering systems in buildings;
;ccm 8.2;Data-driven solutions for GHG emissions reductions;Development or use of ICT solutions that are aimed at collecting, transmitting, storing data and at its modeling and use where those activities are predominantly aimed at the provision of data and analytics enabling GHG emission reductions.;Software and data-driven solutions aiming at improving efficiency in building design, planning, and construction;LHO
;ccm 9.3;Professional services related to energy performance of buildings;Professional services related to energy performance of buildings.;Technical consultations such as energy audits, simulations, and trainings;Energy management services;Energy performance contracts
;wtr 1.1;Manufacture, installation and associated services for leakage control technologies enabling leakage reduction and prevention in water supply systems;Manufacture, installation, or provision of associated services for leakage control technologies that enable leakage reduction and prevention in water supply systems.;Leakage control technologies for water supply systems;vHO €HO
;wtr 4.1;Provision of IT/OT data-driven solutions for leakage reduction;Manufacture, development, installation, deployment, maintenance, repair, or provision of professional services for IT or OT data driven solutions to control, manage, reduce, and mitigate leakage in water supply systems.;Real-time network modeling and optimization;Leakage calculation, control, and reporting;SHO
;ce 1.2;Manufacture of electrical and electronic equipment;Manufacture of electrical and electronic equipment for industrial, professional, and consumer use.;Electrical and electronic equipment;9HO
;ce 4.1;Provision of IT/OT data-driven solutions;Manufacture, development, installation, deployment, maintenance, repair, or provision of professional services for design or monitoring of software and/or IT/OT systems, built for: remote monitoring and predictive maintenance; providing identification, tracking, and tracing of materials, products, and assets to support circularity of material flows or other objectives of the Taxonomy; lifecycle performance management software supporting the monitoring and assessment of circularity performance.;Remote monitoring and predictive maintenance systems;Lifecycle performance management software;8HO LHO
;ce 5.1;Repair, refurbishment, and remanufacturing;Repair, refurbishment, and remanufacturing of goods that have been used for their intended purpose before by a customer.;Repairing, refurbishing, or remanufacturing products that have already been used;6HO
;ce 5.2;Sale of spare parts;Sale of spare parts beyond legal obligations.;Sale of spare parts;
;ce 5.5;Product-as-a-service and other circular use- and result-oriented service models;Providing customers with access to products through service models, which are either use-oriented or result-oriented services.;Software as a Service offers;"
