"manufacture of renewable energy technologies;CCM 3.1;33;0%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
manufacture of energy efficiency equipment for buildings;CCM 3.5;409;1%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
manufacture of low carbon technologies;CCM 3.6;441;1%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
manufacture, installation, and servicing of HV, MV and LV electrical equipment for electrical transmission and distribution that result in or enable a substantial contribution to climate change mitigation;CCM 3.20;5,484;15%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
transmission and distribution of electricity;CCM 4.9;-;-;N/EL;N/EL;N/EL;N/EL;N/EL;N/EL
infrastructure for rail transport;CCM 6.14;1;0%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
infrastructure enabling low carbon road transport and public transport;CCM 6.15;31;0%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
infrastructure enabling low carbon water transport;CCM 6.16;0;0%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
low carbon airport infrastructure;CCM 6.17;8;0%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
data-driven solution for GHG emission reductions;CCM 8.2;88;0%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
manufacture, installation and associated services for leakage control technologies enabling leakage reduction and prevention in water supply systems;WTR 1.1;4;0%;N/EL;N/EL;EL;N/EL;N/EL;N/EL
provision of IT/OT data-driven solutions for leakage reduction;WTR 4.1;293;1%;N/EL;N/EL;EL;N/EL;N/EL;N/EL
manufacture of electrical and electronic equipment;CE 1.2;13,825;39%;N/EL;N/EL;N/EL;N/EL;EL;N/EL
provision of IT/OT data-driven solutions;CE 4.1;161;0%;N/EL;N/EL;N/EL;N/EL;EL;N/EL
repair, refurbishment and remanufacturing;CE 5.1;21;0%;N/EL;N/EL;N/EL;N/EL;EL;N/EL
sale of spare parts;CE 5.2;59;0%;N/EL;N/EL;N/EL;N/EL;EL;N/EL
product-as-a-service and other circular use- and result-oriented service models;CE 5.5;0;0%;N/EL;N/EL;N/EL;N/EL;EL;N/EL
turnover of taxonomy-eligible but not environmentally sustainable activities (not taxonomy-aligned activities) (A.2); ;20,860;58%;18%;-;1%;-;39%;-;8%
turnover of taxonomy-eligible activities (A.1 + A.2); ;32,099;89%;46%;-;1%;-;43%;-;29%
turnover of taxonomy-non-eligible activities (B); ;3,803; ; ; ; ; ; ; ;"
