";2023;number of wells in Eni’s interest;2022;number of wells in Eni’s interest;2021;number of wells in Eni’s interest
; (€ million); |; (€ million); |; (€ million); |
Costs capitalized and suspended for exploratory well activity;;;;
- within 1 year;417;7.9;216;5.0;175;4.0
- between 1 and 3 years;347;6.1;246;4.9;269;12.2
- beyond 3 years;627;14.5;623;13.9;657;19.7
;1,391;28.5;1,085;23.8;1,101;35.9
Costs capitalized for suspended wells;;;;
- fields including wells drilled over the last 12 months;417;7.9;204;4.5;175;4.0
- fields for which the delineation campaign is in progress;804;14.0;579;11.3;567;17.9
- fields including commercial discoveries that are progressing to a FID;170;6.6;302;8.0;359;14.0
;1,391;28.5;1,085;23.8;1,101;35.9"
