KEY PERFORMANCE INDICATORS;;2023;2023;2022;2021
;;Total;of which fully consolidated entities;Total;Total
Total water withdrawals;(million m3);1224;1141;1408;1665
of which: sea water;;1089;1037;1283;1533
of which: fresh water;;124;102;116;117
of which: from surface water bodies;;97;79;84;79
of which: withdrawn from underground;;14;11;17;20
of which: withdrawn from aqueduct or tank;;5;4;6;6
of which: water from GTP used in the production cycle;;4;4;5;5
of which: third-party water resources;;4;4;4;7
of which: water resources from other streams;;0;0;0;0
of which: brackish water from underground or surface water;;11;2;10;15
Total water withdrawals from area with water stress;;25.3;20.8;26;25.2
Fresh water reused;(%) ;90;91;90;91
Total extracted produced water (upstream);(million m3);46;20;44;58
Re-injected produced water;(%);60;42;59;58
Total water discharge;(million m3);1118;1099;1292;1540
of which: at sea;;1028;1017;1215;1456
of which: in superficial water bodies;;72;72;62;70
of which: in the sewerage system;;11;8;12;11
of which: given to third parties;;7;3;3;3
Fresh water discharge in area with water stress;;25.2;19.3;18.8;19
Total water consumption:;;128;60.2;136;128
of which: in area with water stress;;29.9;17.2;36.5;34.3
OIL SPILL;;;;;
Operational oil spills;;;;;
Total number of oil spills (> 1 barrel);(number);33;16;36;36
of which: upstream;;26;9;28;30
Volumes of oil spills (> 1 barrel);(barrels);7728;7625;886;1355
of which: upstream;;143;40;845;436
Oil spills due to sabotage (including thefts);;;;;
Total number of oil spills (> 1 barrel);(number);373;373;244;125
of which: upstream;;372;372;244;125
Volumes of oil spills (> 1 barrel);(barrels);5094;5094;5253;3053
of which: upstream;;5092;5092;5253;3053
Volumes of oil spills due to sabotage (including thefts) in Nigeria (> 1 barrel);;5092;5092;5253;3053
Chemical spills;;;;;
Total number of chemical spills;(number);16;16;13;20
Volumes of chemical spills;(barrels);2260;2260;47;68
WASTE;;;;;
Total waste from production activities;(million of tonnes);3.4;1.6;2.7;2.1
of which: hazardous;;0;0.5;1.1;0.5
of which: non-hazardous;;1.3;1.1;1.7;1.6
Recycled/recovered waste;;0.5;0.5;0.3;0.2
of which: hazardous;;0.2;0.2;0;0
of which: non-hazardous;;0.3;0.3;0.3;0.2
Waste destined for disposal;;2.8;1;2.4;1.9
of which: hazardous;;1.9;0.3;1;0.4
of which: non-hazardous;;0.9;0.8;1.4;1.5
POLLUTANT EMISSIONS TO THE ATMOSPHERE;;;;;
NOx (nitrogen oxides) emissions;(thousands of tonnes of NOxeq);44.8;22.5;48.8;48.8
SO2 (sulphur oxides) emissions;(thousands of tonnes of SO2eq);16.7;3.1;17.9;18.5
NMVOC (Non Methan Volatile Organic Compounds) emissions;(ktonnes);22.1;9.6;23.1;24
PM (Particulate Matter) emissions;;1.4;0.6;1.4;1.4
