"Total recordable incident rate (TRIR)®;(total recordable injuries/worked hours) X 1,000,000;0.30;0.35;0.25
of which: employees;;0.24;0.12;0.09
contractors;;0.32;0.42;0.30
Profit per boe©);(S/boe);14.5;9.8;4.8
Opex per boe®;;8.6;8.4;7.5
Cash flow per boe;;19.4;29.6;20.6
Finding &amp; Development cost per boe®;;26.3;24.3;20.4
Average hydrocarbon realization;;59.35;73.98;51.49
Production of hydrocarbons;(kboe/d);1,655;1,610;1,682
Net proved reserves of hydrocarbons;(mmboe);6,414;6,614;6,628
Reserves life index;(years);10.6;11.3;10.8
Organic reserves replacement ratio;(%;);69;47;55
Employees at year end;(number);8,785;8,689;9,409
of which outside Italy;;5,592;5,497;6,045
Direct GHG emissions (Scope 1)®;(mmtonnes CO,eq,);22.92;21.50;22.30
Methane Intensity® (mCH,/m® gas sold);(%);0.06;0.08;0.09
Volumes of hydrocarbon sent to routine flaring;(billion Sm?);1,0;1.1;1.2
Net carbon footprint upstream (Scope 1+2)®;(mmtonnes C0,eq.);8.9;9.9;11.0
Oil spills due to operations (&amp;gt;1 barrel)®;(barrels);143;845;436"
