;;2023;2022;2021
Total recordable incident rate (TRIR);(total recordable injuries/worked hours) x 1,000,000;0.83;0.31;0.29
of which: employees;;0.21;0.26;0.49
contractors;;1.96;0.39;0
Plenitude;;;;
Retail gas sales;(bcm);6.06;6.84;7.85
Retail power sales to end customers;(TWh);17.98;18.77;16.49
Retail/business customers;(million of POD);10.11;10.07;10.04
EV charging points;(thousand);19;13.1;6.2
Energy production from renewable sources;(TWh);3.98;2.55;0.99
Installed capacity from renewables at period end;(GW);3;2.2;1.1
Power;;;;
Power sales in the open market;(TWh);19.88;22.37;28.54
Thermoelectric production;;20.66;21.37;22.31
Employees at year end;;3018;2794;2464
of which: outside Italy;;788;698;600
Direct GHG emissions (Scope 1);(mmtonnes CO2eq);9.36;9.76;10.03
Direct GHG emissions (Scope 1)/equivalent produced electricity (Eni Power);(gCO2eq/kWheq);389;392.9;379.6
